OBJECTID,IDFEMPLAZAMIENTO,IDEMPLAZAMIENTO,Emplazamiento,Número de plazas,Tarifa,Municipio,Zona Tarifaria,Código de provincia,Código de municipio,Latitud,Longitud,x,y
79,28_014_13,13,Doce de Octubre,210,Libre,Madrid,A,28,014,40.377736,-3.698905,-3.69890499999997,40.377736
80,28_005_8,8,Alcalá de Henares,495,Libre,Alcalá de Henares,B3,28,005,40.489901,-3.365976,-3.36597571099998,40.4899013470001
81,28_007_27,27,Alcorcón Central,361,Libre,Alcorcón,B1,28,007,40.350747,-3.83263,-3.83262979299997,40.350747299
82,28_010_38,38,Alpedrete,90,Libre,Alpedrete,C1,28,010,40.657715,-4.034664,-4.03466438599997,40.6577146020001
83,28_161_18,18,Aluche,355,Libre,Madrid,A,28,161,40.384741,-3.761724,-3.76172400999997,40.384740536
84,28_074_21,21,Aranjuez,1014,Libre,Aranjuez,C1,28,074,40.034854,-3.617883,-3.61788295099996,40.034853593
85,28_074_21,21,Aravaca,429,Libre,Madrid,A,28,074,40.447859,-3.785902,-3.78590187999993,40.4478586330001
86,28_014_13,13,Arganda del Rey,355,Libre,Arganda del Rey,B3,28,014,40.303907,-3.44824,-3.44824021499994,40.3039066160001
87,28_022_32,32,Ferial de Boadilla,385,Libre,Boadilla del Monte,B2,28,022,40.400927,-3.880253,-3.88025338499995,40.4009269090001
88,28_038_43,43,Cercedilla,473,Libre,Cercedilla,C2,28,038,40.742,-4.053,-4.05299999999994,40.7420000000001
89,28_040_19,19,Ciempozuelos,218,Libre,Ciempozuelos,B3,28,040,40.159918,-3.610549,-3.61054876399993,40.159917728
90,28_046_42,42,Collado Mediano,74,Libre,Collado Mediano,C1,28,046,40.692782,-4.034923,-4.03492251899996,40.692782397
91,28_045_44,44,Colmenar Viejo,1837,Pago/Libre,Colmenar Viejo,B3,28,045,40.647,-3.778,-3.77799999999996,40.647
92,28_040_19,19,Colonia Jardín,520,Libre,Madrid,A,28,040,40.397009,-3.775578,-3.77557795199994,40.3970090510001
93,28_079_2,2,Coslada,448,Libre,Coslada,B1,28,079,40.423733,-3.561104,-3.56110432599996,40.4237333470001
94,28_074_22,22,El Barrial - Centro Comercial - Pozuelo,627,Pago,Madrid,B1,28,074,40.465004,-3.807935,-3.80793450899995,40.4650041890001
95,28_054_37,37,El Escorial,280,Libre,El Escorial,C1,28,054,40.586388,-4.132304,-4.13230395899996,40.58638762
