service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
108456_8__271___,1,1,1,1,1,0,0,20220224,20230324
108457_8__271___,1,1,1,1,1,0,0,20220224,20230324
108463_8__271___,1,1,1,1,1,0,0,20220224,20230324
108464_8__271___,1,1,1,1,1,0,0,20220224,20230324
108467_8__271___,0,0,0,0,0,1,0,20220226,20230319
108471_8__271___,0,0,0,0,0,1,0,20220226,20230319
108474_8__271___,0,0,0,0,0,0,1,20220227,20230320
108478_8__271___,0,0,0,0,0,0,1,20220227,20230320
108458_8__272___,1,1,1,1,1,0,0,20220224,20230324
108459_8__272___,1,1,1,1,1,0,0,20220224,20230324
108466_8__272___,0,0,0,0,0,1,0,20220226,20230319
108470_8__272___,0,0,0,0,0,1,0,20220226,20230319
108473_8__272___,0,0,0,0,0,0,1,20220227,20230320
108477_8__272___,0,0,0,0,0,0,1,20220227,20230320
108461_8__275___,1,1,1,1,1,0,0,20220224,20230324
108462_8__275___,1,1,1,1,1,0,0,20220224,20230324
108465_8__275___,1,1,1,1,1,0,0,20220224,20230324
108469_8__275___,0,0,0,0,0,1,0,20220226,20230319
108472_8__275___,0,0,0,0,0,1,0,20220226,20230319
108476_8__275___,0,0,0,0,0,0,1,20220227,20230320
108479_8__275___,0,0,0,0,0,0,1,20220227,20230320
918306_8__280___,0,0,0,1,0,0,0,20220224,20220224
918309_8__280___,0,0,0,1,0,0,0,20220224,20220224
918305_8__280___,0,0,0,1,0,0,0,20220224,20220224
918307_8__280___,0,0,0,1,0,0,0,20220224,20220224
918308_8__280___,0,0,0,1,0,0,0,20220224,20220224
918754_8__280___,0,0,0,0,1,0,0,20220225,20220225
918756_8__280___,0,0,0,0,1,0,0,20220225,20220225
918755_8__280___,0,0,0,0,1,0,0,20220225,20220225
918753_8__280___,0,0,0,0,1,0,0,20220225,20220225
918757_8__280___,0,0,0,0,1,0,0,20220225,20220225
916638_8__280___,0,0,0,0,0,1,0,20220226,20220226
916637_8__280___,0,0,0,0,0,1,0,20220226,20220226
916702_8__280___,0,0,0,0,0,0,1,20220227,20220227
916701_8__280___,0,0,0,0,0,0,1,20220227,20220227
921406_8__280___,1,0,0,0,0,0,0,20220228,20220228
921408_8__280___,1,0,0,0,0,0,0,20220228,20220228
921407_8__280___,1,0,0,0,0,0,0,20220228,20220228
921405_8__280___,1,0,0,0,0,0,0,20220228,20220228
