service_id,date,exception_type
336T05_8__330___,20220225,2
336T05_8__330___,20220228,2
337T24_8__330___,20220225,2
337T24_8__330___,20220228,2
316/317_8__330___,20220225,2
316/317_8__330___,20220228,2
336T03_8__330___,20220225,2
336T03_8__330___,20220228,2
336T03_8__331___,20220225,2
336T03_8__331___,20220228,2
702_8__331___,20220225,2
702_8__331___,20220228,2
117_8__333___,20220225,2
117_8__333___,20220228,2
336T01_8__336___,20220225,2
336T01_8__336___,20220228,2
336T02_8__336___,20220225,2
336T02_8__336___,20220228,2
337T07_8__336___,20220225,2
337T07_8__336___,20220228,2
336T03_8__336___,20220225,2
336T03_8__336___,20220228,2
336T04_8__336___,20220225,2
336T04_8__336___,20220228,2
336T05_8__336___,20220225,2
336T05_8__336___,20220228,2
336T06_8__336___,20220225,2
336T06_8__336___,20220228,2
337T24_8__337___,20220225,2
337T24_8__337___,20220228,2
337T8/16_8__337___,20220225,2
337T8/16_8__337___,20220228,2
415T20_8__337___,20220225,2
415T20_8__337___,20220228,2
337T10_8__337___,20220225,2
337T10_8__337___,20220228,2
336T04_8__337___,20220225,2
336T04_8__337___,20220228,2
336T05_8__337___,20220225,2
336T05_8__337___,20220228,2
337T12_8__337___,20220225,2
337T12_8__337___,20220228,2
337T09_8__337___,20220225,2
337T09_8__337___,20220228,2
337T14/5_8__337___,20220225,2
337T14/5_8__337___,20220228,2
337T17_8__337___,20220225,2
337T17_8__337___,20220228,2
337T18_8__337___,20220225,2
337T18_8__337___,20220228,2
337T23_8__337___,20220228,2
337T14_8__337___,20220307,2
337T14_8__337___,20220314,2
337T01_8__337___,20220307,2
337T01_8__337___,20220314,2
337T02_8__337___,20220307,2
337T02_8__337___,20220314,2
337T04_8__337___,20220307,2
337T04_8__337___,20220314,2
337T05_8__337___,20220307,2
337T05_8__337___,20220314,2
337T08_8__337___,20220307,2
337T08_8__337___,20220314,2
412T09_8__410___,20220225,2
412T09_8__410___,20220228,2
412T11_8__410___,20220225,2
412T11_8__410___,20220228,2
412T16_8__410___,20220225,2
412T16_8__410___,20220228,2
412T18_8__412___,20220225,2
412T18_8__412___,20220228,2
412T02/3_8__412___,20220225,2
412T02/3_8__412___,20220228,2
412T06_8__412___,20220225,2
412T06_8__412___,20220228,2
412T08/9_8__412___,20220225,2
412T08/9_8__412___,20220228,2
412T02_8__412___,20220307,2
412T02_8__412___,20220314,2
412T03_8__412___,20220307,2
412T03_8__412___,20220314,2
412T08_8__412___,20220307,2
412T08_8__412___,20220314,2
412T09_8__412___,20220307,2
412T09_8__412___,20220314,2
412T18_8__413___,20220225,2
412T18_8__413___,20220228,2
412T02_8__413___,20220307,2
412T02_8__413___,20220314,2
412T04_8__413___,20220307,2
412T04_8__413___,20220314,2
412T07_8__413___,20220307,2
412T07_8__413___,20220314,2
412T08_8__413___,20220307,2
412T08_8__413___,20220314,2
415T20_8__415___,20220225,2
415T20_8__415___,20220228,2
415T22_8__415___,20220225,2
415T22_8__415___,20220228,2
415T21_8__415___,20220225,2
415T21_8__415___,20220228,2
337T18_8__415___,20220225,2
337T18_8__415___,20220228,2
336T06_8__416___,20220225,2
336T06_8__416___,20220228,2
337T19_8__416___,20220225,2
337T19_8__416___,20220228,2
412T04_8__416___,20220225,2
412T04_8__416___,20220228,2
412T14_8__416___,20220225,2
412T14_8__416___,20220228,2
999903_8__430___,20220225,2
999903_8__430___,20220228,2
723_8__511___,20220225,2
723_8__511___,20220228,2
724_8__511___,20220225,2
724_8__511___,20220228,2
15_8__512___,20220225,2
15_8__512___,20220228,2
732_8__512___,20220225,2
732_8__512___,20220228,2
733_8__512___,20220225,2
733_8__512___,20220228,2
734_8__512___,20220225,2
734_8__512___,20220228,2
735_8__512___,20220225,2
735_8__512___,20220228,2
736_8__512___,20220225,2
736_8__512___,20220228,2
737_8__512___,20220225,2
737_8__512___,20220228,2
738_8__512___,20220225,2
738_8__512___,20220228,2
66_8__513___,20220225,2
66_8__513___,20220228,2
70_8__513___,20220225,2
70_8__513___,20220228,2
72_8__513___,20220225,2
72_8__513___,20220228,2
73_8__513___,20220225,2
73_8__513___,20220228,2
761_8__513___,20220225,2
761_8__513___,20220228,2
234_8__518___,20220225,2
234_8__518___,20220228,2
235_8__518___,20220225,2
235_8__518___,20220228,2
237_8__518___,20220225,2
237_8__518___,20220228,2
258_8__518___,20220225,2
258_8__518___,20220228,2
350_8__518___,20220225,2
350_8__518___,20220228,2
551_8__518___,20220225,2
551_8__518___,20220228,2
802_8__518___,20220225,2
802_8__518___,20220228,2
803_8__518___,20220225,2
803_8__518___,20220228,2
804_8__518___,20220225,2
804_8__518___,20220228,2
805_8__518___,20220225,2
805_8__518___,20220228,2
806_8__518___,20220225,2
806_8__518___,20220228,2
807_8__518___,20220225,2
807_8__518___,20220228,2
808_8__518___,20220225,2
808_8__518___,20220228,2
809_8__518___,20220225,2
809_8__518___,20220228,2
810_8__518___,20220225,2
810_8__518___,20220228,2
811_8__518___,20220225,2
811_8__518___,20220228,2
812_8__518___,20220225,2
812_8__518___,20220228,2
813_8__518___,20220225,2
813_8__518___,20220228,2
814_8__518___,20220225,2
814_8__518___,20220228,2
815_8__518___,20220225,2
815_8__518___,20220228,2
816_8__518___,20220225,2
816_8__518___,20220228,2
961_8__518___,20220225,2
961_8__518___,20220228,2
962_8__518___,20220225,2
962_8__518___,20220228,2
963_8__518___,20220225,2
963_8__518___,20220228,2
143_8__521___,20220225,2
143_8__521___,20220228,2
147_8__521___,20220225,2
147_8__521___,20220228,2
154_8__521___,20220225,2
154_8__521___,20220228,2
155_8__521___,20220225,2
155_8__521___,20220228,2
159_8__521___,20220225,2
159_8__521___,20220228,2
840_8__521___,20220225,2
840_8__521___,20220228,2
861_8__521___,20220225,2
861_8__521___,20220228,2
862_8__521___,20220225,2
862_8__521___,20220228,2
247_8__522___,20220225,2
247_8__522___,20220228,2
248_8__522___,20220225,2
248_8__522___,20220228,2
320_8__522___,20220225,2
320_8__522___,20220228,2
322_8__522___,20220225,2
322_8__522___,20220228,2
323_8__522___,20220225,2
323_8__522___,20220228,2
324_8__522___,20220225,2
324_8__522___,20220228,2
817_8__522___,20220225,2
817_8__522___,20220228,2
849_8__522___,20220225,2
849_8__522___,20220228,2
883_8__522___,20220225,2
883_8__522___,20220228,2
884_8__522___,20220225,2
884_8__522___,20220228,2
885_8__522___,20220225,2
885_8__522___,20220228,2
886_8__522___,20220225,2
886_8__522___,20220228,2
887_8__522___,20220225,2
887_8__522___,20220228,2
888_8__522___,20220225,2
888_8__522___,20220228,2
282_8__523___,20220225,2
282_8__523___,20220228,2
283_8__523___,20220225,2
283_8__523___,20220228,2
307_8__523___,20220225,2
307_8__523___,20220228,2
308_8__523___,20220225,2
308_8__523___,20220228,2
309_8__523___,20220225,2
309_8__523___,20220228,2
310_8__523___,20220225,2
310_8__523___,20220228,2
314_8__523___,20220225,2
314_8__523___,20220228,2
315_8__523___,20220225,2
315_8__523___,20220228,2
316_8__523___,20220225,2
316_8__523___,20220228,2
317_8__523___,20220225,2
317_8__523___,20220228,2
910_8__523___,20220225,2
910_8__523___,20220228,2
913_8__523___,20220225,2
913_8__523___,20220228,2
916_8__523___,20220225,2
916_8__523___,20220228,2
918_8__523___,20220225,2
918_8__523___,20220228,2
919_8__523___,20220225,2
919_8__523___,20220228,2
929_8__523___,20220225,2
929_8__523___,20220228,2
930_8__523___,20220225,2
930_8__523___,20220228,2
934_8__523___,20220225,2
934_8__523___,20220228,2
939_8__523___,20220225,2
939_8__523___,20220228,2
995_8__523___,20220225,2
995_8__523___,20220228,2
997_8__523___,20220225,2
997_8__523___,20220228,2
998_8__523___,20220225,2
998_8__523___,20220228,2
999_8__523___,20220225,2
999_8__523___,20220228,2
337T23_9__1__123_,20220225,2
337T23_9__1__123_,20220228,2
415T20_9__1__123_,20220225,2
415T20_9__1__123_,20220228,2
412T05_9__1__132_,20220225,2
412T05_9__1__132_,20220228,2
412T10_9__1__132_,20220225,2
412T10_9__1__132_,20220228,2
412T16_9__1__132_,20220225,2
412T16_9__1__132_,20220228,2
412T06_9__1__132_,20220225,2
412T06_9__1__132_,20220228,2
336T02_9__1__091_,20220225,2
336T02_9__1__091_,20220228,2
336T04_9__1__091_,20220225,2
336T04_9__1__091_,20220228,2
412T06_9_i_1__132_,20220225,2
412T06_9_i_1__132_,20220228,2
412T05_9_i_1__132_,20220225,2
412T05_9_i_1__132_,20220228,2
412T10_9_i_1__132_,20220225,2
412T10_9_i_1__132_,20220228,2
412T16_9_i_1__132_,20220225,2
412T16_9_i_1__132_,20220228,2
