Temporada,Fecha,Rival,Espectadores
2014-2015,2014-08-30,Eibar,"48,000"
2014-2015,2014-09-20,Celta Vigo,"47,000"
2014-2015,2014-09-27,Sevilla,"52,000"
2014-2015,2014-10-01,it Juventus,"44,322"
2014-2015,2014-10-19,Espanyol,"54,069"
2014-2015,2014-10-22,se Malmö,"34,502"
2014-2015,2014-11-01,Córdoba,"48,600"
2014-2015,2014-11-22,Málaga,"44,200"
2014-2015,2014-11-26,gr Olympiacos,"40,121"
2014-2015,2014-11-30,La Coruña,"45,000"
2014-2015,2014-12-14,Villarreal,"37,000"
2014-2015,2014-12-18,L'Hospitalet,
2014-2015,2015-01-03,Levante,"52,163"
2014-2015,2015-01-07,Real Madrid,"51,000"
2014-2015,2015-01-18,Granada,"42,000"
2014-2015,2015-01-24,Rayo Vallecano,"37,202"
2014-2015,2015-01-28,Barcelona,"53,800"
2014-2015,2015-02-07,Real Madrid,"52,063"
2014-2015,2015-02-21,Almería,"44,000"
2014-2015,2015-03-08,Valencia,"51,180"
2014-2015,2015-03-17,de Leverkusen,"48,273"
2014-2015,2015-03-21,Getafe,"38,673"
2014-2015,2015-04-07,Real Sociedad,"40,238"
2014-2015,2015-04-14,es Real Madrid,"52,553"
2014-2015,2015-04-25,Elche,"47,531"
2014-2015,2015-05-02,Athletic Club,"48,452"
2014-2015,2015-05-17,Barcelona,"53,254"
2015-2016,2015-08-22,Las Palmas,"45,107"
2015-2016,2015-09-12,Barcelona,"53,491"
2015-2016,2015-09-22,Getafe,"41,152"
2015-2016,2015-09-30,pt Benfica,"40,938"
2015-2016,2015-10-04,Real Madrid,"53,079"
2015-2016,2015-10-21,kz FC Astana,"33,853"
2015-2016,2015-10-25,Valencia,"47,075"
2015-2016,2015-11-08,Sporting Gijón,"49,323"
2015-2016,2015-11-25,tr Galatasaray,"35,753"
2015-2016,2015-11-28,Espanyol,"44,893"
2015-2016,2015-12-13,Athletic Club,"50,137"
2015-2016,2015-12-17,Reus,"18,000"
2015-2016,2016-01-02,Levante,"43,417"
2015-2016,2016-01-14,Rayo Vallecano,"28,000"
2015-2016,2016-01-24,Sevilla,"52,793"
2015-2016,2016-01-27,Celta Vigo,"36,852"
2015-2016,2016-02-06,Eibar,"45,321"
2015-2016,2016-02-21,Villarreal,"45,323"
2015-2016,2016-03-01,Real Sociedad,"35,621"
2015-2016,2016-03-12,La Coruña,"44,122"
2015-2016,2016-03-15,nl PSV Eindhoven,"50,135"
2015-2016,2016-04-02,Betis,"50,121"
2015-2016,2016-04-13,es Barcelona,"52,851"
2015-2016,2016-04-17,Granada,"51,136"
2015-2016,2016-04-23,Málaga,"47,621"
2015-2016,2016-04-27,de Bayern Munich,"52,127"
2015-2016,2016-04-30,Rayo Vallecano,"49,263"
2015-2016,2016-05-14,Celta Vigo,"42,139"
2016-2017,2016-08-21,Alavés,"36,455"
2016-2017,2016-09-17,Sporting Gijón,"45,821"
2016-2017,2016-09-25,La Coruña,"45,653"
2016-2017,2016-09-28,de Bayern Munich,"48,242"
2016-2017,2016-10-15,Granada,"48,293"
2016-2017,2016-10-29,Málaga,"47,471"
2016-2017,2016-11-01,ru Rostov,"40,392"
2016-2017,2016-11-19,Real Madrid,"53,741"
2016-2017,2016-11-23,nl PSV Eindhoven,"37,891"
2016-2017,2016-12-03,Espanyol,"39,707"
2016-2017,2016-12-17,Las Palmas,"39,453"
2016-2017,2016-12-20,Guijuelo,"23,478"
2016-2017,2017-01-10,Las Palmas,"21,357"
2016-2017,2017-01-14,Betis,"46,043"
2016-2017,2017-01-19,Eibar,"24,826"
2016-2017,2017-02-01,Barcelona,"48,124"
2016-2017,2017-02-04,Leganés,"37,421"
2016-2017,2017-02-12,Celta Vigo,"30,323"
2016-2017,2017-02-26,Barcelona,"52,573"
2016-2017,2017-03-05,Valencia,"46,473"
2016-2017,2017-03-15,de Leverkusen,"49,133"
2016-2017,2017-03-19,Sevilla,"49,831"
2016-2017,2017-04-04,Real Sociedad,"43,132"
2016-2017,2017-04-12,eng Leicester City,"51,423"
2016-2017,2017-04-15,Osasuna,"44,113"
2016-2017,2017-04-25,Villarreal,"44,432"
2016-2017,2017-05-06,Eibar,"46,748"
2016-2017,2017-05-10,es Real Madrid,"53,422"
2016-2017,2017-05-21,Athletic Club,"52,314"
2017-2018,2017-09-16,Málaga,"63,114"
2017-2018,2017-09-23,Sevilla,"60,823"
2017-2018,2017-09-27,eng Chelsea,"60,643"
2017-2018,2017-10-14,Barcelona,"64,393"
2017-2018,2017-10-28,Villarreal,"61,421"
2017-2018,2017-10-31,az Qarabağ,"55,893"
2017-2018,2017-11-18,Real Madrid,"66,496"
2017-2018,2017-11-22,it Roma,"56,253"
2017-2018,2017-11-29,Elche,"46,723"
2017-2018,2017-12-02,Real Sociedad,"57,394"
2017-2018,2017-12-16,Alavés,"49,937"
2017-2018,2018-01-06,Getafe,"47,023"
2017-2018,2018-01-09,Lleida,"28,033"
2017-2018,2018-01-17,Sevilla,"51,643"
2017-2018,2018-01-20,Girona,"55,076"
2017-2018,2018-01-28,Las Palmas,"55,363"
2017-2018,2018-02-04,Valencia,"49,596"
2017-2018,2018-02-18,Athletic Club,"60,022"
2017-2018,2018-02-22,dk FC Copenhagen,"44,035"
2017-2018,2018-02-28,Leganés,"35,033"
2017-2018,2018-03-08,ru Loko Moscow,"40,767"
2017-2018,2018-03-11,Celta Vigo,"55,076"
2017-2018,2018-04-01,La Coruña,"49,351"
2017-2018,2018-04-05,pt Sporting CP,"53,301"
2017-2018,2018-04-15,Levante,"58,043"
2017-2018,2018-04-22,Betis,200
2017-2018,2018-05-03,eng Arsenal,"64,196"
2017-2018,2018-05-06,Espanyol,"49,834"
2017-2018,2018-05-20,Eibar,"63,229"
2018-2019,2018-08-25,Rayo Vallecano,"52,693"
2018-2019,2018-09-15,Eibar,"55,674"
2018-2019,2018-09-25,Huesca,"47,023"
2018-2019,2018-10-03,be Club Brugge,"55,742"
2018-2019,2018-10-07,Betis,"63,786"
2018-2019,2018-10-27,Real Sociedad,"57,514"
2018-2019,2018-11-06,de Dortmund,"61,023"
2018-2019,2018-11-10,Athletic Club,"59,321"
2018-2019,2018-11-24,Barcelona,"67,204"
2018-2019,2018-11-28,fr Monaco,"56,314"
2018-2019,2018-12-05,Sant Andreu,"31,414"
2018-2019,2018-12-08,Alavés,"55,810"
2018-2019,2018-12-22,Espanyol,"58,069"
2018-2019,2019-01-13,Levante,"57,093"
2018-2019,2019-01-16,Girona,"45,221"
2018-2019,2019-01-26,Getafe,"55,709"
2018-2019,2019-02-09,Real Madrid,"67,752"
2018-2019,2019-02-20,it Juventus,"67,193"
2018-2019,2019-02-24,Villarreal,"59,114"
2018-2019,2019-03-09,Leganés,"58,321"
2018-2019,2019-04-02,Girona,"40,863"
2018-2019,2019-04-13,Celta Vigo,"55,269"
2018-2019,2019-04-24,Valencia,"43,531"
2018-2019,2019-04-27,Valladolid,"53,123"
2018-2019,2019-05-12,Sevilla,"60,234"
2019-2020,2019-08-18,Getafe,"55,099"
2019-2020,2019-09-01,Eibar,"56,664"
2019-2020,2019-09-18,it Juventus,"66,283"
2019-2020,2019-09-21,Celta Vigo,"57,701"
2019-2020,2019-09-28,Real Madrid,"68,032"
2019-2020,2019-10-19,Valencia,"61,603"
2019-2020,2019-10-22,de Leverkusen,"56,776"
2019-2020,2019-10-26,Athletic Club,"59,211"
2019-2020,2019-11-10,Espanyol,"53,069"
2019-2020,2019-12-01,Barcelona,"64,226"
2019-2020,2019-12-11,ru Loko Moscow,"58,426"
2019-2020,2019-12-14,Osasuna,"46,033"
2019-2020,2020-01-04,Levante,"59,084"
2019-2020,2020-01-26,Leganés,"52,767"
2019-2020,2020-02-08,Granada,"54,113"
2019-2020,2020-02-18,eng Liverpool,"67,443"
2019-2020,2020-02-23,Villarreal,"54,462"
2019-2020,2020-03-07,Sevilla,"60,422"
2019-2020,2020-06-20,Valladolid,
2019-2020,2020-06-27,Alavés,
2019-2020,2020-07-03,Mallorca,
2019-2020,2020-07-11,Betis,
2019-2020,2020-07-19,Real Sociedad,
2020-2021,2020-09-27,Granada,
2020-2021,2020-10-03,Villarreal,
2020-2021,2020-10-24,Betis,
2020-2021,2020-10-27,at RB Salzburg,
2020-2021,2020-11-07,Cádiz,
2020-2021,2020-11-21,Barcelona,
2020-2021,2020-11-25,ru Loko Moscow,
2020-2021,2020-12-01,de Bayern Munich,
2020-2021,2020-12-05,Valladolid,
2020-2021,2020-12-19,Elche,
2020-2021,2020-12-30,Getafe,
2020-2021,2021-01-12,Sevilla,
2020-2021,2021-01-24,Valencia,
2020-2021,2021-02-08,Celta Vigo,
2020-2021,2021-02-20,Levante,
2020-2021,2021-03-07,Real Madrid,
2020-2021,2021-03-10,Athletic Club,
