Temporada,Fecha,Rival,Espectadores
2014-2015,2014-08-29,Almería,"6,000"
2014-2015,2014-09-22,Valencia,"6,000"
2014-2015,2014-09-28,Málaga,"5,500"
2014-2015,2014-10-03,Córdoba,"9,000"
2014-2015,2014-10-26,Atlético Madrid,"9,300"
2014-2015,2014-11-08,Elche,"6,000"
2014-2015,2014-11-29,Athletic Club,"8,100"
2014-2015,2014-12-05,Eibar,"1,700"
2014-2015,2014-12-13,Barcelona,"9,500"
2014-2015,2015-01-04,Rayo Vallecano,"6,500"
2014-2015,2015-01-14,Almería,"2,500"
2014-2015,2015-01-18,Real Madrid,"10,591"
2014-2015,2015-01-26,Celta Vigo,"4,570"
2014-2015,2015-01-29,Villarreal,"2,800"
2014-2015,2015-02-08,Sevilla,"6,386"
2014-2015,2015-02-20,Espanyol,"9,614"
2014-2015,2015-03-16,Real Sociedad,"5,500"
2014-2015,2015-04-05,La Coruña,"6,287"
2014-2015,2015-04-12,Villarreal,"6,745"
2014-2015,2015-04-25,Levante,"5,954"
2014-2015,2015-05-03,Granada,"5,897"
2014-2015,2015-05-17,Eibar,"8,808"
2015-2016,2015-08-30,Granada,"6,000"
2015-2016,2015-09-18,Málaga,"5,808"
2015-2016,2015-09-27,Levante,"5,934"
2015-2016,2015-10-18,Las Palmas,"5,875"
2015-2016,2015-10-31,Barcelona,"10,089"
2015-2016,2015-11-23,Rayo Vallecano,"5,088"
2015-2016,2015-11-29,Villarreal,"5,903"
2015-2016,2015-12-11,Real Sociedad,"5,567"
2015-2016,2015-12-16,Rayo Vallecano,"5,000"
2015-2016,2015-12-30,La Coruña,"5,667"
2015-2016,2016-01-09,Betis,"6,940"
2015-2016,2016-01-17,Espanyol,"6,540"
2015-2016,2016-01-30,Athletic Club,"9,503"
2015-2016,2016-02-14,Atlético Madrid,"8,512"
2015-2016,2016-02-27,Celta Vigo,"5,652"
2015-2016,2016-03-05,Sevilla,"6,754"
2015-2016,2016-03-18,Eibar,"6,557"
2015-2016,2016-04-16,Real Madrid,"11,401"
2015-2016,2016-04-24,Valencia,"11,637"
2015-2016,2016-05-08,Sporting Gijón,"13,028"
2016-2017,2016-08-26,Numancia,"4,366"
2016-2017,2016-09-03,Reus,"4,529"
2016-2017,2016-09-18,Oviedo,"6,547"
2016-2017,2016-09-25,Girona,"5,175"
2016-2017,2016-10-08,UCAM Murcia,"4,940"
2016-2017,2016-10-22,Huesca,"3,894"
2016-2017,2016-11-06,Alcorcón,"6,035"
2016-2017,2016-11-20,Zaragoza,"4,802"
2016-2017,2016-12-02,Sevilla B,"6,474"
2016-2017,2016-12-17,Valladolid,"5,327"
2016-2017,2017-01-15,Mallorca,"7,919"
2016-2017,2017-01-22,Mirandés,"5,870"
2016-2017,2017-02-11,Cádiz,"5,882"
2016-2017,2017-02-25,Rayo Vallecano,"6,858"
2016-2017,2017-03-12,Tenerife,"5,942"
2016-2017,2017-03-26,Lugo,"5,680"
2016-2017,2017-04-08,Levante,"5,617"
2016-2017,2017-04-22,Gimnàstic,"10,175"
2016-2017,2017-05-07,Córdoba,"10,655"
2016-2017,2017-05-19,Elche,"11,130"
2016-2017,2017-06-04,Almería,"10,426"
2016-2017,2017-06-17,Huesca,"13,013"
2016-2017,2017-06-24,Tenerife,"15,380"
2017-2018,2017-08-27,Sevilla,"10,039"
2017-2018,2017-09-16,Barcelona,"15,164"
2017-2018,2017-09-24,Villarreal,"10,874"
2017-2018,2017-10-14,Real Madrid,"15,350"
2017-2018,2017-10-24,Alavés,"7,731"
2017-2018,2017-10-29,Real Sociedad,"11,010"
2017-2018,2017-11-18,Alavés,"10,014"
2017-2018,2017-12-03,Valencia,"12,480"
2017-2018,2017-12-09,Eibar,"9,317"
2017-2018,2017-12-20,Las Palmas,"9,231"
2017-2018,2018-01-12,Málaga,"9,513"
2017-2018,2018-01-19,Athletic Club,"11,457"
2017-2018,2018-02-04,Leganés,"10,657"
2017-2018,2018-02-19,Celta Vigo,"8,367"
2017-2018,2018-02-28,La Coruña,"5,097"
2017-2018,2018-03-10,Levante,"8,136"
2017-2018,2018-04-02,Betis,"10,628"
2017-2018,2018-04-15,Espanyol,"10,593"
