Temporada,Fecha,Rival,Espectadores
2014-2015,2014-08-25,Atlético Madrid,"11,070"
2014-2015,2014-09-14,Elche,"9,521"
2014-2015,2014-09-24,Athletic Club,"11,040"
2014-2015,2014-10-04,Barcelona,"14,070"
2014-2015,2014-11-03,Eibar,"10,625"
2014-2015,2014-11-23,Celta Vigo,"7,100"
2014-2015,2014-12-04,Valencia,
2014-2015,2014-12-07,Sevilla,"11,604"
2014-2015,2014-12-20,Espanyol,"7,776"
2014-2015,2015-01-12,Córdoba,"10,620"
2014-2015,2015-01-30,La Coruña,"10,724"
2014-2015,2015-02-15,Villarreal,"10,914"
2014-2015,2015-02-28,Levante,"10,512"
2014-2015,2015-03-14,Granada,"10,952"
2014-2015,2015-03-21,Málaga,"9,110"
2014-2015,2015-04-08,Real Madrid,"13,016"
2014-2015,2015-04-19,Almería,"10,165"
2014-2015,2015-04-30,Valencia,"10,055"
2014-2015,2015-05-11,Getafe,"9,475"
2014-2015,2015-05-23,Real Sociedad,"9,513"
2015-2016,2015-08-22,Valencia,"9,608"
2015-2016,2015-09-14,La Coruña,"12,005"
2015-2016,2015-09-23,Sporting Gijón,"11,067"
2015-2016,2015-10-04,Betis,"11,820"
2015-2016,2015-10-23,Espanyol,"10,480"
2015-2016,2015-11-07,Granada,"10,142"
2015-2016,2015-11-29,Athletic Club,"13,100"
2015-2016,2015-12-02,Getafe,"7,268"
2015-2016,2015-12-13,Málaga,"9,423"
2015-2016,2015-12-30,Atlético Madrid,"12,315"
2015-2016,2016-01-03,Real Sociedad,"10,756"
2015-2016,2016-01-06,Atlético Madrid,"5,223"
2015-2016,2016-01-23,Celta Vigo,"10,780"
2015-2016,2016-02-06,Las Palmas,"11,565"
2015-2016,2016-02-21,Sevilla,"12,375"
2015-2016,2016-03-03,Barcelona,"14,430"
2015-2016,2016-03-12,Eibar,"10,567"
2015-2016,2016-04-01,Getafe,"12,715"
2015-2016,2016-04-17,Villarreal,"12,628"
2015-2016,2016-04-23,Real Madrid,"13,314"
2015-2016,2016-05-15,Levante,"12,547"
2016-2017,2016-08-28,Valladolid,"8,095"
2016-2017,2016-09-11,Mallorca,"8,142"
2016-2017,2016-09-22,Getafe,"9,173"
2016-2017,2016-10-02,Cádiz,"11,871"
2016-2017,2016-10-12,Gimnàstic,"5,282"
2016-2017,2016-10-16,Numancia,"9,387"
2016-2017,2016-10-22,Girona,"7,385"
2016-2017,2016-11-05,UCAM Murcia,"6,875"
2016-2017,2016-11-20,Huesca,"7,202"
2016-2017,2016-12-04,Alcorcón,"7,432"
2016-2017,2016-12-18,Zaragoza,"8,573"
2016-2017,2017-01-14,Sevilla B,"7,846"
2016-2017,2017-01-21,Elche,"7,298"
2016-2017,2017-02-05,Almería,"7,816"
2016-2017,2017-02-19,Mirandés,"8,632"
2016-2017,2017-03-04,Reus,"7,671"
2016-2017,2017-03-19,Oviedo,"8,274"
2016-2017,2017-04-08,Tenerife,"9,374"
2016-2017,2017-04-22,Lugo,"8,904"
2016-2017,2017-05-06,Levante,"8,869"
2016-2017,2017-05-19,Gimnàstic,"9,800"
2016-2017,2017-06-04,Córdoba,"8,063"
2017-2018,2017-08-26,Numancia,"7,250"
2017-2018,2017-09-06,Tenerife,"7,286"
2017-2018,2017-09-10,Osasuna,"8,043"
2017-2018,2017-09-24,Leonesa,"9,795"
2017-2018,2017-10-08,Valladolid,"9,116"
2017-2018,2017-10-12,Almería,"8,615"
2017-2018,2017-10-22,Sporting Gijón,"10,473"
2017-2018,2017-11-04,Albacete,"8,523"
2017-2018,2017-11-19,Barcelona B,"9,016"
2017-2018,2017-12-02,Granada,"8,162"
2017-2018,2017-12-17,Alcorcón,"8,208"
2017-2018,2018-01-06,Gimnàstic,"6,416"
2017-2018,2018-01-12,Oviedo,"9,057"
2017-2018,2018-01-27,Lorca FC,"7,994"
2017-2018,2018-02-11,Sevilla B,"8,352"
2017-2018,2018-02-24,Huesca,"12,014"
2017-2018,2018-03-18,Reus,"8,716"
2017-2018,2018-04-01,Cádiz,"12,248"
2017-2018,2018-04-15,Zaragoza,"11,951"
2017-2018,2018-04-29,Tenerife,"10,037"
2017-2018,2018-05-13,Córdoba,"12,395"
2017-2018,2018-05-27,Lugo,"13,840"
2018-2019,2018-08-19,Sevilla,"11,626"
2018-2019,2018-09-22,Alavés,"12,011"
2018-2019,2018-09-28,Espanyol,"12,100"
2018-2019,2018-10-21,Getafe,"12,040"
2018-2019,2018-10-24,Athletic Club,"11,850"
2018-2019,2018-11-03,Barcelona,"13,785"
2018-2019,2018-11-11,Villarreal,"11,840"
2018-2019,2018-11-30,Eibar,"11,257"
2018-2019,2018-12-04,Leganés,"8,372"
2018-2019,2018-12-23,Levante,"11,206"
2018-2019,2019-01-11,Celta Vigo,"11,465"
2018-2019,2019-01-20,Real Sociedad,"12,562"
2018-2019,2019-02-04,Leganés,"11,435"
2018-2019,2019-02-16,Atlético Madrid,"13,880"
2018-2019,2019-03-01,Girona,"12,087"
2018-2019,2019-03-31,Betis,"12,310"
2018-2019,2019-04-06,Valencia,"11,320"
2018-2019,2019-04-20,Huesca,"10,542"
2018-2019,2019-04-28,Real Madrid,"13,273"
2018-2019,2019-05-12,Valladolid,"10,040"
2019-2020,2019-08-17,CD Mirandés,"5,876"
2019-2020,2019-09-01,La Coruña,"8,990"
2019-2020,2019-09-13,Racing Sant,"9,649"
2019-2020,2019-09-21,Almería,"9,098"
2019-2020,2019-10-01,Alcorcón,"8,350"
2019-2020,2019-10-11,Tenerife,"9,335"
2019-2020,2019-10-26,Ponferradina,"9,538"
2019-2020,2019-11-10,Cádiz,"9,700"
2019-2020,2019-11-23,Zaragoza,"9,874"
2019-2020,2020-01-05,Girona,"8,427"
2019-2020,2020-01-15,Lugo,"7,784"
2019-2020,2020-01-23,Betis,"11,800"
2019-2020,2020-01-26,Extremadura,"10,104"
2019-2020,2020-01-29,Villarreal,"7,500"
2019-2020,2020-02-09,Oviedo,"10,447"
2019-2020,2020-02-23,Huesca,"7,933"
2019-2020,2020-03-08,Elche,"10,163"
2019-2020,2020-06-10,Albacete,"9,114"
2019-2020,2020-06-17,Fuenlabrada,
2019-2020,2020-06-25,Sporting Gijón,
2019-2020,2020-07-02,Málaga,
2019-2020,2020-07-09,Numancia,
2019-2020,2020-07-17,Las Palmas,
2020-2021,2020-09-19,Sabadell,
2020-2021,2020-10-03,Málaga,
2020-2021,2020-10-18,Espanyol,
2020-2021,2020-10-29,Fuenlabrada,
2020-2021,2020-11-08,Almería,
2020-2021,2020-11-21,Castellón,
2020-2021,2020-11-28,Cartagena,
2020-2021,2020-12-05,UD Logroñés,
2020-2021,2020-12-20,Las Palmas,
2020-2021,2021-01-02,Alcorcón,
2020-2021,2021-01-16,Elche,
