Temporada,Fecha,Rival,Espectadores
2014-2015,2014-08-25,Córdoba,"70,356"
2014-2015,2014-09-13,Atlético Madrid,"85,253"
2014-2015,2014-09-16,ch Basel,"65,364"
2014-2015,2014-09-23,Elche,"63,634"
2014-2015,2014-10-05,Athletic Club,"77,987"
2014-2015,2014-10-25,Barcelona,"84,000"
2014-2015,2014-11-04,eng Liverpool,"75,000"
2014-2015,2014-11-08,Rayo Vallecano,"76,842"
2014-2015,2014-12-02,Cornellà,"46,200"
2014-2015,2014-12-06,Celta Vigo,"80,300"
2014-2015,2014-12-09,bg Ludogorets,"58,393"
2014-2015,2015-01-10,Espanyol,"74,896"
2014-2015,2015-01-15,Atlético Madrid,"81,000"
2014-2015,2015-01-31,Real Sociedad,"71,653"
2014-2015,2015-02-04,Sevilla,"67,126"
2014-2015,2015-02-14,La Coruña,"73,671"
2014-2015,2015-03-01,Villarreal,"75,108"
2014-2015,2015-03-10,de Schalke 04,"69,986"
2014-2015,2015-03-15,Levante,"64,861"
2014-2015,2015-04-05,Granada,"71,863"
2014-2015,2015-04-11,Eibar,"73,965"
2014-2015,2015-04-18,Málaga,"78,354"
2014-2015,2015-04-22,es Atlético Madrid,"80,000"
2014-2015,2015-04-29,Almería,"63,813"
2014-2015,2015-05-09,Valencia,"79,897"
2014-2015,2015-05-13,it Juventus,"78,153"
2014-2015,2015-05-23,Getafe,"63,769"
2015-2016,2015-08-29,Betis,"70,876"
2015-2016,2015-09-15,ua Shakhtar,"66,389"
2015-2016,2015-09-19,Granada,"71,786"
2015-2016,2015-09-26,Málaga,"75,361"
2015-2016,2015-10-17,Levante,"74,779"
2015-2016,2015-10-31,Las Palmas,"72,387"
2015-2016,2015-11-03,fr Paris S-G,"78,300"
2015-2016,2015-11-21,Barcelona,"80,500"
2015-2016,2015-12-05,Getafe,"64,897"
2015-2016,2015-12-08,se Malmö,"60,663"
2015-2016,2015-12-16,Cádiz,
2015-2016,2015-12-20,Rayo Vallecano,"61,564"
2015-2016,2015-12-30,Real Sociedad,"69,896"
2015-2016,2016-01-09,La Coruña,"71,267"
2015-2016,2016-01-17,Sporting Gijón,"70,365"
2015-2016,2016-01-31,Espanyol,"65,768"
2015-2016,2016-02-13,Athletic Club,"77,364"
2015-2016,2016-02-27,Atlético Madrid,"79,436"
2015-2016,2016-03-05,Celta Vigo,"68,467"
2015-2016,2016-03-08,it Roma,"76,654"
2015-2016,2016-03-20,Sevilla,"72,976"
2015-2016,2016-04-09,Eibar,"70,689"
2015-2016,2016-04-12,de Wolfsburg,"76,684"
2015-2016,2016-04-20,Villarreal,"62,678"
2015-2016,2016-05-04,eng Manchester City,"78,300"
2015-2016,2016-05-08,Valencia,"72,987"
2016-2017,2016-08-09,es Sevilla,"17,939"
2016-2017,2016-08-27,Celta Vigo,"61,568"
2016-2017,2016-09-10,Osasuna,"69,567"
2016-2017,2016-09-14,pt Sporting CP,"72,179"
2016-2017,2016-09-21,Villarreal,"67,328"
2016-2017,2016-10-02,Eibar,"72,103"
2016-2017,2016-10-18,pl Legia Warsaw,"70,251"
2016-2017,2016-10-23,Athletic Club,"72,910"
2016-2017,2016-11-06,Leganés,"74,269"
2016-2017,2016-11-26,Sporting Gijón,"67,118"
2016-2017,2016-11-30,Leonesa,"47,656"
2016-2017,2016-12-07,de Dortmund,"76,894"
2016-2017,2016-12-10,La Coruña,"67,174"
2016-2017,2017-01-04,Sevilla,"78,969"
2016-2017,2017-01-07,Granada,"71,184"
2016-2017,2017-01-18,Celta Vigo,"58,196"
2016-2017,2017-01-21,Málaga,"72,687"
2016-2017,2017-01-29,Real Sociedad,"66,693"
2016-2017,2017-02-15,it Napoli,"78,000"
2016-2017,2017-02-18,Espanyol,"75,606"
2016-2017,2017-03-01,Las Palmas,"63,789"
2016-2017,2017-03-12,Betis,"73,103"
2016-2017,2017-04-02,Alavés,"76,875"
2016-2017,2017-04-08,Atlético Madrid,"80,000"
2016-2017,2017-04-18,de Bayern Munich,"78,346"
2016-2017,2017-04-23,Barcelona,"81,044"
2016-2017,2017-04-29,Valencia,"75,180"
2016-2017,2017-05-02,es Atlético Madrid,"77,609"
2016-2017,2017-05-14,Sevilla,"79,356"
2017-2018,2017-08-16,Barcelona,"75,167"
2017-2018,2017-08-27,Valencia,"65,107"
2017-2018,2017-09-09,Levante,"67,789"
2017-2018,2017-09-13,cy APOEL FC,"71,060"
2017-2018,2017-09-20,Betis,"65,102"
2017-2018,2017-10-01,Espanyol,"71,205"
2017-2018,2017-10-17,eng Tottenham,"76,589"
2017-2018,2017-10-22,Eibar,"66,781"
2017-2018,2017-11-05,Las Palmas,"67,120"
2017-2018,2017-11-25,Málaga,"75,671"
2017-2018,2017-11-28,Fuenlabrada,"49,638"
2017-2018,2017-12-06,de Dortmund,"73,323"
2017-2018,2017-12-09,Sevilla,"76,924"
2017-2018,2017-12-23,Barcelona,"80,264"
2017-2018,2018-01-10,Numancia,"37,553"
2017-2018,2018-01-13,Villarreal,"63,403"
2017-2018,2018-01-21,La Coruña,"63,504"
2017-2018,2018-01-24,Leganés,"46,409"
2017-2018,2018-02-10,Real Sociedad,"63,811"
2017-2018,2018-02-14,fr Paris S-G,"78,158"
2017-2018,2018-02-24,Alavés,"75,181"
2017-2018,2018-03-03,Getafe,"55,106"
2017-2018,2018-03-18,Girona,"59,097"
2017-2018,2018-04-08,Atlético Madrid,"78,769"
2017-2018,2018-04-11,it Juventus,"75,796"
2017-2018,2018-04-18,Athletic Club,"59,193"
2017-2018,2018-04-28,Leganés,"59,905"
2017-2018,2018-05-01,de Bayern Munich,"77,459"
2017-2018,2018-05-12,Celta Vigo,"56,474"
2018-2019,2018-08-19,Getafe,"48,446"
2018-2019,2018-09-01,Leganés,"59,255"
2018-2019,2018-09-19,it Roma,"69,251"
2018-2019,2018-09-22,Espanyol,"67,658"
2018-2019,2018-09-29,Atlético Madrid,"78,642"
2018-2019,2018-10-20,Levante,"63,423"
2018-2019,2018-10-23,cz Viktoria Plzeň,"67,356"
2018-2019,2018-11-03,Valladolid,"68,050"
2018-2019,2018-12-01,Valencia,"69,653"
2018-2019,2018-12-06,Melilla,"55,243"
2018-2019,2018-12-12,ru CSKA Moscow,"51,636"
2018-2019,2018-12-15,Rayo Vallecano,"55,229"
2018-2019,2019-01-06,Real Sociedad,"53,412"
2018-2019,2019-01-09,Leganés,"44,231"
2018-2019,2019-01-19,Sevilla,"68,232"
2018-2019,2019-01-24,Girona,"50,865"
2018-2019,2019-02-03,Alavés,"53,132"
2018-2019,2019-02-17,Girona,"68,099"
2018-2019,2019-02-27,Barcelona,"80,472"
2018-2019,2019-03-02,Barcelona,"78,921"
2018-2019,2019-03-05,nl Ajax,"77,013"
2018-2019,2019-03-16,Celta Vigo,"65,054"
2018-2019,2019-03-31,Huesca,"49,269"
2018-2019,2019-04-06,Eibar,"50,284"
2018-2019,2019-04-21,Athletic Club,"59,815"
2018-2019,2019-05-05,Villarreal,"46,294"
2018-2019,2019-05-19,Betis,"56,900"
2019-2020,2019-08-24,Valladolid,"63,037"
2019-2020,2019-09-14,Levante,"60,401"
2019-2020,2019-09-25,Osasuna,"57,520"
2019-2020,2019-10-01,be Club Brugge,"65,112"
2019-2020,2019-10-05,Granada,"70,315"
2019-2020,2019-10-30,Leganés,"53,870"
2019-2020,2019-11-02,Betis,"70,375"
2019-2020,2019-11-06,tr Galatasaray,"65,492"
2019-2020,2019-11-23,Real Sociedad,"69,305"
2019-2020,2019-11-26,fr Paris S-G,"75,534"
2019-2020,2019-12-07,Espanyol,"64,125"
2019-2020,2019-12-22,Athletic Club,"71,306"
2019-2020,2020-01-12,Atlético Madrid,"59,053"
2019-2020,2020-01-18,Sevilla,"72,512"
2019-2020,2020-02-01,Atlético Madrid,"77,223"
2019-2020,2020-02-06,Real Sociedad,"64,012"
2019-2020,2020-02-16,Celta Vigo,"62,477"
2019-2020,2020-02-26,eng Manchester City,"75,615"
2019-2020,2020-03-01,Barcelona,"78,357"
