fid,COD_SEC,Densidad,Edad_Prome,area_m2,renta_med_,renta_me_1,pob_sec_to,per_hog_me,area_troci,porcentaje,hog_sec,%una_mujer,%un_hombre,%una_muj_1,%un_homb_1,%una_muje_,%un_hombr_,%dos_adult,%dos_adul_,%dos_adu_1,%dos_adu_2,%dos_adu_3,%dos_adu_4,%dos_adu_5,%dos_adu_6,%tres_adul,%dos_adu_7,%dos_adu_8,%dos_adu_9,%cuatro_ad,%cinco_o_m,%hogar_15_,%hogar_con,%troc_sec,hog_troc,pob_troc,%pob_15,%pob_65,%pob_ext
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,219019.194,0.279,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.327,"193","381",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,28959.473,0.037,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.043,"25","50",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,196625.316,0.250,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.294,"173","343",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,78752.092,0.100,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.118,"70","137",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,79206.390,0.101,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.118,"70","137",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,78752.092,0.100,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.118,"70","137",0.072,0.230,0.256
1,"01001",18.249785700000000,47.326229509999997,668975.221000000019558,"26032","55934","1165",2.110507246000000,9320.577,0.012,"589",0.138,0.182,0.097,0.044,0.005,0.005,0.154,0.119,0.029,0.025,0.002,0.037,8.000,0.002,0.063,0.008,0.002,0.002,0.027,0.042,0.000,0.003,0.014,"8","16",0.072,0.230,0.256
2,"01002",353.383525609999992,42.341889119999998,27581.716000000000349,"18878","38385","983",1.931237721000000,19479.584,0.025,"514",0.216,0.226,0.070,0.031,0.008,0.000,0.195,0.054,0.019,0.008,0.000,0.021,2.000,0.000,0.066,0.019,0.004,0.002,0.031,0.023,0.002,0.000,0.706,"363","694",0.057,0.139,0.328
2,"01002",353.383525609999992,42.341889119999998,27581.716000000000349,"18878","38385","983",1.931237721000000,22722.247,0.029,"514",0.216,0.226,0.070,0.031,0.008,0.000,0.195,0.054,0.019,0.008,0.000,0.021,2.000,0.000,0.066,0.019,0.004,0.002,0.031,0.023,0.002,0.000,0.824,"424","810",0.057,0.139,0.328
2,"01002",353.383525609999992,42.341889119999998,27581.716000000000349,"18878","38385","983",1.931237721000000,27581.716,0.035,"514",0.216,0.226,0.070,0.031,0.008,0.000,0.195,0.054,0.019,0.008,0.000,0.021,2.000,0.000,0.066,0.019,0.004,0.002,0.031,0.023,0.002,0.000,1.000,"514","983",0.057,0.139,0.328
