fid;COD_SEC;hog_troc;pob_troc;%una_mujer_pon;%un_hombre_pon;%una_muj_1_pon;%un_homb_1_pon;%una_muje__pon;%un_hombr__pon;%dos_adult_pon;%dos_adul__pon;%dos_adu_1_pon;%dos_adu_2_pon;%dos_adu_3_pon;%dos_adu_4_pon;%dos_adu_5_pon;%dos_adu_6_pon;%tres_adul_pon;%dos_adu_7_pon;%dos_adu_8_pon;%dos_adu_9_pon;%cuatro_ad_pon;%cinco_o_m_pon;%hogar_15__pon;%hogar_con_pon;%pob_15_pon;%pob_65_pon;%pob_ext_pon;Densidad_pon;Edad_Prome_pon;per_hog_sec_pon;renta_per_sec_pon;renta_hog_sec_pon
1;1001;193;381;0,0451;0,0595;0,0317;0,0144;0,0016;0,0016;0,0504;0,0389;0,0095;0,0082;0,0007;0,0121;0,0044;0,0007;0,0206;0,0026;0,0007;0,0007;0,0088;0,0137;0,0000;0,0010;0,0235;0,0752;0,0837;5,96767992;15,475677;0,69013587;8512,464;18290,418
1;1001;25;50;0,0059;0,0078;0,0042;0,0019;0,0002;0,0002;0,0066;0,0051;0,0012;0,0011;0,0001;0,0016;0,0006;0,0001;0,0027;0,0003;0,0001;0,0001;0,0012;0,0018;0,0000;0,0001;0,0031;0,0099;0,0110;0,78474079;2,035028;0,09075181;1119,376;2405,162
1;1001;173;343;0,0406;0,0535;0,0285;0,0129;0,0015;0,0015;0,0453;0,0350;0,0085;0,0074;0,0006;0,0109;0,0040;0,0006;0,0185;0,0024;0,0006;0,0006;0,0079;0,0123;0,0000;0,0009;0,0212;0,0676;0,0753;5,36543700;13,913911;0,62048913;7653,408;16444,596
1;1001;70;137;0,0163;0,0215;0,0114;0,0052;0,0006;0,0006;0,0182;0,0140;0,0034;0,0030;0,0002;0,0044;0,0016;0,0002;0,0074;0,0009;0,0002;0,0002;0,0032;0,0050;0,0000;0,0004;0,0085;0,0271;0,0302;2,15347471;5,584495;0,24903986;3071,776;6600,212
1;1001;70;137;0,0163;0,0215;0,0114;0,0052;0,0006;0,0006;0,0182;0,0140;0,0034;0,0030;0,0002;0,0044;0,0016;0,0002;0,0074;0,0009;0,0002;0,0002;0,0032;0,0050;0,0000;0,0004;0,0085;0,0271;0,0302;2,15347471;5,584495;0,24903986;3071,776;6600,212
1;1001;70;137;0,0163;0,0215;0,0114;0,0052;0,0006;0,0006;0,0182;0,0140;0,0034;0,0030;0,0002;0,0044;0,0016;0,0002;0,0074;0,0009;0,0002;0,0002;0,0032;0,0050;0,0000;0,0004;0,0085;0,0271;0,0302;2,15347471;5,584495;0,24903986;3071,776;6600,212
1;1001;8;16;0,0019;0,0025;0,0014;0,0006;0,0001;0,0001;0,0022;0,0017;0,0004;0,0004;0,0000;0,0005;0,0002;0,0000;0,0009;0,0001;0,0000;0,0000;0,0004;0,0006;0,0000;0,0000;0,0010;0,0032;0,0036;0,25549700;0,662567;0,02954710;364,448;783,076
2;1002;363;694;0,1525;0,1596;0,0494;0,0219;0,0056;0,0000;0,1377;0,0381;0,0134;0,0056;0,0000;0,0148;0,0027;0,0000;0,0466;0,0134;0,0028;0,0014;0,0219;0,0162;0,0014;0,0000;0,0402;0,0981;0,2316;249,48876908;29,893374;1,36345383;13327,868;27099,810
2;1002;424;810;0,1780;0,1862;0,0577;0,0255;0,0066;0,0000;0,1607;0,0445;0,0157;0,0066;0,0000;0,0173;0,0032;0,0000;0,0544;0,0157;0,0033;0,0016;0,0255;0,0190;0,0016;0,0000;0,0470;0,1145;0,2703;291,18802510;34,889717;1,59133988;15555,472;31629,240
2;1002;514;983;0,2160;0,2260;0,0700;0,0310;0,0080;0,0000;0,1950;0,0540;0,0190;0,0080;0,0000;0,0210;0,0039;0,0000;0,0660;0,0190;0,0040;0,0020;0,0310;0,0230;0,0020;0,0000;0,0570;0,1390;0,3280;353,38352561;42,341889;1,93123772;18878,000;38385,000
