fid,COD_SEC,Código_es,nombre_est,Latitud,Longitud,area_trocito,porcentaje
"1","01001","211",Noviciado,40.424851830000001,-3.707429184000000,9320.577,0.012
"1","01001","308",Plaza de España,40.423880990000001,-3.711223119000000,78752.092,0.100
"1","01001","210",Santo Domingo,40.421463320000001,-3.707895489000000,79206.390,0.101
"1","01001","626",Puerta del Ángel,40.414090969999997,-3.727219548000000,28959.473,0.037
"1","01001","625",Príncipe Pío,40.421239430000000,-3.719568935000000,219019.194,0.279
"1","01001","209",Ópera,40.418159860000003,-3.709342789000000,196625.316,0.250
"1","01001","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000,78752.092,0.100
"2","01002","211",Noviciado,40.424851830000001,-3.707429184000000,23942.937,0.030
"2","01002","308",Plaza de España,40.423880990000001,-3.711223119000000,27581.716,0.035
"2","01002","210",Santo Domingo,40.421463320000001,-3.707895489000000,27581.716,0.035
"2","01002","307",Callao,40.420253410000001,-3.705737368000000,19479.584,0.025
"2","01002","209",Ópera,40.418159860000003,-3.709342789000000,22722.247,0.029
"2","01002","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000,27581.716,0.035
"3","01003","211",Noviciado,40.424851830000001,-3.707429184000000,45455.890,0.058
"3","01003","308",Plaza de España,40.423880990000001,-3.711223119000000,53288.479,0.068
"3","01003","210",Santo Domingo,40.421463320000001,-3.707895489000000,72555.540,0.092
"3","01003","307",Callao,40.420253410000001,-3.705737368000000,72555.540,0.092
"3","01003","209",Ópera,40.418159860000003,-3.709342789000000,71217.001,0.091
"3","01003","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000,53288.479,0.068
"4","01004","308",Plaza de España,40.423880990000001,-3.711223119000000,22240.447,0.028
"4","01004","210",Santo Domingo,40.421463320000001,-3.707895489000000,52992.184,0.067
"4","01004","307",Callao,40.420253410000001,-3.705737368000000,49584.432,0.063
"4","01004","209",Ópera,40.418159860000003,-3.709342789000000,52992.184,0.067
"4","01004","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000,22240.447,0.028
"5","01006","210",Santo Domingo,40.421463320000001,-3.707895489000000,21510.293,0.027
"5","01006","112",Sol,40.416887799999998,-3.703447009000000,14850.975,0.019
"5","01006","307",Callao,40.420253410000001,-3.705737368000000,23698.547,0.030
"5","01006","209",Ópera,40.418159860000003,-3.709342789000000,49241.812,0.063
"6","01007","209",Ópera,40.418159860000003,-3.709342789000000,21995.376,0.028
"7","01008","517",La Latina,40.411233269999997,-3.708454091000000,26323.896,0.034
"7","01008","113",Tirso de Molina,40.412372329999997,-3.704292531000000,15691.041,0.020
"7","01008","209",Ópera,40.418159860000003,-3.709342789000000,28114.785,0.036
