fid,COD_SEC,Densidad,Edad_Prome,Proporcion,Proporci_1,Proporci_2,Indice_env,Indice_juv,Indice_dep,Indice_est,Indice_ree,Razon_prog,Proporci_3,Prop_inmig,Proporci_4,area_m2,renta_med_persona,renta_med_hog,pob_sec_tot,per_hog_med,mapa_hogares_composici,mapa_hogares_una_mujer_,mapa_hogares_un_hombre_,mapa_hogares_una_mujer1,mapa_hogares_un_hombre1,mapa_hogares_una_muje_1,mapa_hogares_un_hombr_1,mapa_hogares_dos_adulto,mapa_hogares_dos_adul_1,mapa_hogares_dos_adul_2,mapa_hogares_dos_adul_3,mapa_hogares_dos_adul_4,mapa_hogares_dos_adul_5,mapa_hogares_dos_adul_6,mapa_hogares_dos_adul_7,mapa_hogares_tres_adult,mapa_hogares_dos_adul_8,mapa_hogares_dos_adul_9,mapa_hogares_dos_adu_10,mapa_hogares_cuatro_adu,mapa_hogares_cinco_o_m,mapa_hogares_hogar_15_o,mapa_hogares_hogar_con_,Código_es,nombre_est,Latitud,Longitud,area_trocito,porcentaje
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","211",Noviciado,40.424851830000001,-3.707429184000000,9320.577,0.012
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","308",Plaza de España,40.423880990000001,-3.711223119000000,78752.092,0.100
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","210",Santo Domingo,40.421463320000001,-3.707895489000000,79206.390,0.101
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","626",Puerta del Ángel,40.414090969999997,-3.727219548000000,28959.473,0.037
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","625",Príncipe Pío,40.421239430000000,-3.719568935000000,219019.194,0.279
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","209",Ópera,40.418159860000003,-3.709342789000000,196625.316,0.250
"1","01001",18.2497857,47.32622951,7.21311475,23.03278689,28.46975089,319.31818182,31.31672598,43.36075206,89.53229399,38.27160494,115,25.57377049,9.09836066,32.78688525,668975.221,"26032","55934","1165",2.110507246,"589","81","107","57","26","3","3","91","70","17","15","1","22","8","1","37","5","1","1","16","25","0","2","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000,78752.092,0.100
"2","01002",353.38352561,42.34188912,5.74948665,13.86036961,27.40740741,241.07142857,41.48148148,24.39335888,131.65680473,43.33333333,71.42857143,32.75154004,16.83778234,44.45585216,27581.716,"18878","38385","983",1.931237721,"514","111","116","36","16","4","0","100","28","10","4","0","11","2","0","34","10","2","1","16","12","1","0","211",Noviciado,40.424851830000001,-3.707429184000000,23942.937,0.030
"2","01002",353.38352561,42.34188912,5.74948665,13.86036961,27.40740741,241.07142857,41.48148148,24.39335888,131.65680473,43.33333333,71.42857143,32.75154004,16.83778234,44.45585216,27581.716,"18878","38385","983",1.931237721,"514","111","116","36","16","4","0","100","28","10","4","0","11","2","0","34","10","2","1","16","12","1","0","308",Plaza de España,40.423880990000001,-3.711223119000000,27581.716,0.035
"2","01002",353.38352561,42.34188912,5.74948665,13.86036961,27.40740741,241.07142857,41.48148148,24.39335888,131.65680473,43.33333333,71.42857143,32.75154004,16.83778234,44.45585216,27581.716,"18878","38385","983",1.931237721,"514","111","116","36","16","4","0","100","28","10","4","0","11","2","0","34","10","2","1","16","12","1","0","210",Santo Domingo,40.421463320000001,-3.707895489000000,27581.716,0.035
