fid,COD_SEC,Código_es,nombre_est,Latitud,Longitud
"1","01001","211",Noviciado,40.424851830000001,-3.707429184000000
"1","01001","308",Plaza de España,40.423880990000001,-3.711223119000000
"1","01001","210",Santo Domingo,40.421463320000001,-3.707895489000000
"1","01001","626",Puerta del Ángel,40.414090969999997,-3.727219548000000
"1","01001","625",Príncipe Pío,40.421239430000000,-3.719568935000000
"1","01001","307",Callao,40.420253410000001,-3.705737368000000
"1","01001","209",Ópera,40.418159860000003,-3.709342789000000
"1","01001","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000
"2","01002","211",Noviciado,40.424851830000001,-3.707429184000000
"2","01002","308",Plaza de España,40.423880990000001,-3.711223119000000
"2","01002","210",Santo Domingo,40.421463320000001,-3.707895489000000
"2","01002","307",Callao,40.420253410000001,-3.705737368000000
"2","01002","209",Ópera,40.418159860000003,-3.709342789000000
"2","01002","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000
"3","01003","211",Noviciado,40.424851830000001,-3.707429184000000
"3","01003","308",Plaza de España,40.423880990000001,-3.711223119000000
"3","01003","210",Santo Domingo,40.421463320000001,-3.707895489000000
"3","01003","112",Sol,40.416887799999998,-3.703447009000000
"3","01003","307",Callao,40.420253410000001,-3.705737368000000
"3","01003","209",Ópera,40.418159860000003,-3.709342789000000
"3","01003","111",Gran Vía,40.419845819999999,-3.701610857000000
"3","01003","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000
"4","01004","308",Plaza de España,40.423880990000001,-3.711223119000000
"4","01004","210",Santo Domingo,40.421463320000001,-3.707895489000000
"4","01004","112",Sol,40.416887799999998,-3.703447009000000
"4","01004","307",Callao,40.420253410000001,-3.705737368000000
"4","01004","209",Ópera,40.418159860000003,-3.709342789000000
"4","01004","309",Ventura Rodríguez,40.423880990000001,-3.711223119000000
"5","01006","210",Santo Domingo,40.421463320000001,-3.707895489000000
"5","01006","112",Sol,40.416887799999998,-3.703447009000000
"5","01006","307",Callao,40.420253410000001,-3.705737368000000
"5","01006","209",Ópera,40.418159860000003,-3.709342789000000
"6","01007","112",Sol,40.416887799999998,-3.703447009000000
"6","01007","209",Ópera,40.418159860000003,-3.709342789000000
"7","01008","517",La Latina,40.411233269999997,-3.708454091000000
"7","01008","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"7","01008","112",Sol,40.416887799999998,-3.703447009000000
"7","01008","209",Ópera,40.418159860000003,-3.709342789000000
"8","01009","517",La Latina,40.411233269999997,-3.708454091000000
"8","01009","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"8","01009","209",Ópera,40.418159860000003,-3.709342789000000
"9","01011","517",La Latina,40.411233269999997,-3.708454091000000
"9","01011","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"9","01011","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"10","01012","517",La Latina,40.411233269999997,-3.708454091000000
"10","01012","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"10","01012","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"11","01013","517",La Latina,40.411233269999997,-3.708454091000000
"11","01013","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"11","01013","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"12","01014","517",La Latina,40.411233269999997,-3.708454091000000
"12","01014","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"13","01015","517",La Latina,40.411233269999997,-3.708454091000000
"13","01015","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"14","01016","517",La Latina,40.411233269999997,-3.708454091000000
"15","01018","517",La Latina,40.411233269999997,-3.708454091000000
"15","01018","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"16","01019","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"17","01020","517",La Latina,40.411233269999997,-3.708454091000000
"17","01020","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"18","01021","517",La Latina,40.411233269999997,-3.708454091000000
"18","01021","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"19","01022","520",Pirámides,40.402127129999997,-3.711935937000000
"19","01022","517",La Latina,40.411233269999997,-3.708454091000000
"19","01022","519",Acacias,40.403893390000000,-3.706639531000000
"19","01022","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"20","01023","517",La Latina,40.411233269999997,-3.708454091000000
"20","01023","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"20","01023","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"21","01024","517",La Latina,40.411233269999997,-3.708454091000000
"21","01024","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"21","01024","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"22","01025","517",La Latina,40.411233269999997,-3.708454091000000
"22","01025","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"22","01025","112",Sol,40.416887799999998,-3.703447009000000
"22","01025","114",Antón Martín,40.412449449999997,-3.699477459000000
"23","01026","517",La Latina,40.411233269999997,-3.708454091000000
"23","01026","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"23","01026","112",Sol,40.416887799999998,-3.703447009000000
"23","01026","114",Antón Martín,40.412449449999997,-3.699477459000000
"24","01027","517",La Latina,40.411233269999997,-3.708454091000000
"24","01027","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"24","01027","112",Sol,40.416887799999998,-3.703447009000000
"24","01027","114",Antón Martín,40.412449449999997,-3.699477459000000
"24","01027","305",Lavapiés,40.408450209999998,-3.700692302000000
"25","01028","517",La Latina,40.411233269999997,-3.708454091000000
"25","01028","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"25","01028","112",Sol,40.416887799999998,-3.703447009000000
"25","01028","114",Antón Martín,40.412449449999997,-3.699477459000000
"25","01028","305",Lavapiés,40.408450209999998,-3.700692302000000
"26","01029","517",La Latina,40.411233269999997,-3.708454091000000
"26","01029","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"26","01029","114",Antón Martín,40.412449449999997,-3.699477459000000
"26","01029","305",Lavapiés,40.408450209999998,-3.700692302000000
"27","01030","517",La Latina,40.411233269999997,-3.708454091000000
"27","01030","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"27","01030","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"27","01030","114",Antón Martín,40.412449449999997,-3.699477459000000
"27","01030","305",Lavapiés,40.408450209999998,-3.700692302000000
"28","01031","517",La Latina,40.411233269999997,-3.708454091000000
"28","01031","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"28","01031","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"28","01031","305",Lavapiés,40.408450209999998,-3.700692302000000
"29","01032","517",La Latina,40.411233269999997,-3.708454091000000
"29","01032","304",Embajadores,40.405099020000002,-3.702457877000000
"29","01032","519",Acacias,40.403893390000000,-3.706639531000000
"29","01032","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"29","01032","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"29","01032","305",Lavapiés,40.408450209999998,-3.700692302000000
"30","01033","517",La Latina,40.411233269999997,-3.708454091000000
"30","01033","304",Embajadores,40.405099020000002,-3.702457877000000
"30","01033","519",Acacias,40.403893390000000,-3.706639531000000
"30","01033","518",Puerta de Toledo,40.406992899999999,-3.711119930000000
"30","01033","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"30","01033","114",Antón Martín,40.412449449999997,-3.699477459000000
"30","01033","305",Lavapiés,40.408450209999998,-3.700692302000000
"31","01034","517",La Latina,40.411233269999997,-3.708454091000000
"31","01034","304",Embajadores,40.405099020000002,-3.702457877000000
"31","01034","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"31","01034","114",Antón Martín,40.412449449999997,-3.699477459000000
"31","01034","305",Lavapiés,40.408450209999998,-3.700692302000000
"32","01035","517",La Latina,40.411233269999997,-3.708454091000000
"32","01035","304",Embajadores,40.405099020000002,-3.702457877000000
"32","01035","519",Acacias,40.403893390000000,-3.706639531000000
"32","01035","113",Tirso de Molina,40.412372329999997,-3.704292531000000
"32","01035","114",Antón Martín,40.412449449999997,-3.699477459000000
"32","01035","305",Lavapiés,40.408450209999998,-3.700692302000000
"33","01036","517",La Latina,40.411233269999997,-3.708454091000000
"33","01036","304",Embajadores,40.405099020000002,-3.702457877000000
