cod_sec;Renta neta media por persona;Renta neta media por hogar;pob_tot;prom_pers_hog
01001;26032;55934;1165;2,110507246
01002;18878;38385;983;1,931237721
01003;19309;40644;1870;2,034820457
01004;32105;65863;1297;2,071884984
01006;26540;51400;1718;1,917410714
01007;22671;44200;832;1,908256881
01008;23970;48841;800;1,995012469
01009;23012;44414;1367;1,895977809
01011;21367;41591;1104;1,920000000
01012;18611;38913;761;2,084931507
01013;16796;32052;1215;1,869230769
01014;19964;40316;1393;1,981507824
01015;21853;42673;1721;2,347885402
01016;21643;43084;1104;1,967914439
01018;22143;42049;1759;1,891397849
01019;22143;42110;1298;1,900439239
01020;18677;36183;1242;1,925581395
01021;21218;43603;1872;2,169177289
01022;18645;36992;1276;1,972179289
01023;16937;33875;1433;1,971114168
01024;19666;36018;1229;1,812684366
01025;21902;49280;1067;2,236897275
01026;21030;42594;1462;1,981029810
01027;22776;43544;1166;1,936877076
01028;18637;38599;1585;2,408814590
01029;18032;38225;1370;2,104454685
01030;13931;30475;1107;2,214000000
01031;13347;27080;1150;2,000000000
01032;19991;41687;2106;2,064705882
01033;16311;31686;1243;1,921174652
01034;12173;25529;1521;2,044354839
01035;14193;30744;1470;2,181008902
01036;15438;29934;1163;1,928689884
01037;15437;32372;1077;2,039772727
01038;13664;27718;1599;2,562500000
01039;15137;30708;1026;1,992233010
01040;15964;34120;837;2,146153846
01041;17089;34290;968;1,971486762
01042;16194;33616;1040;2,039215686
01043;13739;27654;1146;1,996515679
01045;18444;37065;1350;1,948051948
01046;17594;35904;1540;2,005208333
01047;15598;32111;2238;2,043835616
01048;14531;30585;1235;2,103918228
01049;14668;28256;1290;1,902654867
01050;14940;29566;1276;1,939209726
01051;13986;27445;1459;1,929894180
01053;18385;35694;1301;1,904831625
01054;15829;30700;898;1,918803419
01055;19583;37344;1009;1,900188324
01056;18070;36743;920;2,026431718
01057;21814;41554;1379;1,891632373
01058;20012;44298;731;2,182089552
01059;19212;37935;1537;1,955470738
01061;20666;41905;846;1,990588235
01062;20759;37931;951;1,818355641
01063;20766;42908;758;2,043126685
01064;24599;46541;804;1,891764706
01065;23275;44031;796;1,899761337
01066;17187;32852;1278;1,893333333
01067;19378;39410;1237;1,991948470
01068;22230;47516;829;2,051980198
01069;20351;36466;976;1,781021898
01071;26336;53795;798;2,078125000
01072;27854;56252;1543;1,965605096
01073;33647;72671;1797;2,129146919
01074;23679;47420;1693;1,926052332
01075;19949;38782;1406;1,850000000
01076;18567;37983;1447;1,984910837
01077;27584;55764;1300;2,024922118
01079;26143;50429;1497;1,946684005
01081;21853;42290;1605;1,868451688
01082;22934;44943;1745;2,005747126
01084;33717;67156;1550;1,927860697
01087;32704;74090;1422;2,214953271
01088;29968;59663;1302;2,218057922
01089;24923;47801;1455;1,947791165
01090;26790;55059;891;2,205445545
01091;21265;41127;1046;1,898366606
01092;21233;39687;738;1,835820896
01093;19801;37558;1517;1,856793146
01094;21932;41501;1566;1,926199262
01095;21216;40322;1456;1,857142857
01096;17232;35782;1089;1,987226277
01097;19041;35606;1428;1,835475578
01098;18330;33682;1157;1,845295056
01099;17445;33090;1288;1,874818049
01100;20334;36024;1156;1,746223565
01101;18843;36046;1266;1,867256637
01102;19072;38480;1205;1,988448845
01103;29758;57451;1379;1,972818312
01104;19208;36138;1246;1,859701493
01105;24683;42569;1284;1,709720373
01106;27402;57088;1156;2,064285714
01107;26632;56700;1208;2,075601375
01108;23325;47257;1413;2,033093525
01109;20573;41415;958;1,987551867
01110;19355;38613;842;1,949074074
01111;21422;40623;937;1,833659491
01112;20566;42025;1209;1,991762768
01113;19702;40636;1148;2,024691358
01114;20991;41955;1663;1,970379147
01115;20584;42397;1078;2,033962264
01116;19113;37770;1459;1,922266140
01117;19317;40866;1735;2,087845969
01118;18255;35923;893;1,937093275
01119;15819;32189;1256;2,195804196
01120;19357;37785;845;1,877777778
01121;18356;37801;1849;2,007600434
01123;21810;45246;788;1,974937343
01124;21271;47491;798;2,192307692
02001;21479;42210;1158;1,949494949
02002;19810;38745;1432;1,950953678
02003;21400;50831;1141;2,357438017
02004;20612;51661;994;2,522842640
02005;20250;46680;795;2,284482759
02006;21628;50345;2103;2,341870824
02007;21194;56796;751;2,682142857
02008;19390;40914;1617;2,110966057
02009;27145;61307;1947;2,368613139
02010;20141;48083;1062;2,365256125
02011;22100;55656;1184;2,524520256
02013;23124;49344;1150;2,129629630
02014;20067;43006;1135;2,125468165
02015;20141;49087;1592;2,437978560
02016;24926;60304;1921;2,428571429
02017;22686;57586;1761;2,544797688
02018;25721;61763;2153;2,632029340
02019;27187;61585;1465;2,289062500
02020;23617;52834;1099;2,238289206
02021;19741;40520;1061;2,044315992
02022;17104;35276;1041;2,037181996
02023;19064;40125;1194;2,091068301
02024;21167;43432;1631;2,041301627
02025;17671;41373;804;2,317002882
02026;20607;41439;1306;2,003067485
02027;20480;46344;969;2,264018692
02028;15208;28423;910;1,849593496
02029;14315;29867;737;2,076056338
02030;20400;44616;1253;2,164075993
02031;22689;54166;1099;2,426048565
02032;21195;47572;617;2,219424460
02033;20063;45260;1252;2,243727599
02034;18609;44519;885;2,391891892
02035;17344;39725;986;2,277136259
02036;19247;43038;939;2,235714286
02037;21081;48365;1238;2,288354898
02038;17875;38475;994;2,146868251
02039;19450;43837;730;2,253086420
02040;19108;40688;1674;2,129770992
02041;17362;36427;1965;2,088204038
02042;17673;39469;1769;2,242078580
02043;16801;38424;1002;2,272108844
02044;15920;40858;1771;2,600587372
02045;15396;39658;1105;2,540229885
02046;14235;31051;1283;2,181972789
02047;13299;30909;1551;2,294378698
02048;16032;38657;1216;2,403162055
02049;22243;60931;1677;2,726829268
02050;15702;35020;1553;2,209103841
02051;21727;54106;1928;2,478149100
02052;24205;62888;1666;2,586956522
02053;22242;49775;1638;2,265560166
02054;19088;42279;1144;2,187380497
02055;18981;43298;1198;2,260377358
02056;18870;41523;1082;2,203665988
02057;16187;40132;1526;2,461290323
02058;17221;36542;1626;2,170894526
02059;18447;41652;720;2,278481013
02060;20173;45355;1327;2,256802721
02061;19276;39390;853;2,035799523
02062;16738;36845;1042;2,157349896
02063;18630;37535;1661;2,008464329
02064;19429;40956;1672;2,095238095
02065;20964;40622;1414;1,918588874
02066;22387;50448;2440;2,244710212
02067;15274;33618;1478;2,259938838
02068;15821;31888;1088;1,996330275
02069;19759;44706;870;2,259740260
02070;20212;42577;1300;2,100161551
02071;21763;47222;1391;2,149922720
02072;20910;43626;1652;2,075376884
02073;21689;45346;1772;2,092089728
02074;19605;40813;1706;2,060386473
02075;18600;42579;1901;2,279376499
02077;18840;39785;1131;2,106145251
02078;18683;40360;857;2,131840796
02079;19452;41938;1205;2,175090253
02080;20281;46371;913;2,335038363
02081;20387;43578;1121;2,115094340
02082;17871;37373;1186;2,077057793
02083;20120;52252;1949;2,623149394
02085;26407;66964;1202;2,519916143
02086;21532;48333;1290;2,227979275
02087;27422;66826;2140;2,479721900
02088;18783;43435;711;2,300970874
02089;22079;51856;1077;2,346405229
02090;20528;52617;1794;2,559201141
02091;23474;52913;1111;2,253549696
02092;23151;52138;1859;2,247883918
02093;19649;51761;1495;2,664884135
02094;28218;76405;1700;2,733118971
02095;25975;61649;1717;2,368275862
02096;28752;77989;1690;2,779605263
02097;22788;59460;1132;2,644859813
02098;23947;56639;1290;2,402234637
02099;21233;56289;2045;2,628534704
02100;23037;57286;1704;2,487591241
02101;26926;69071;1607;2,575320513
02102;23364;64946;1712;2,792822186
02103;27360;65228;2537;2,391140434
02104;25110;62457;1392;2,481283422
02105;22856;56606;1691;2,501479290
02106;24736;61366;2341;2,495735608
02107;26611;67916;1328;2,539196941
02108;28718;65021;965;2,265258216
02109;24781;55029;1405;2,233704293
02110;28345;70313;1606;2,501557632
02111;24213;55259;1321;2,277586207
02112;25278;64454;1518;2,559865093
02113;27159;76650;1639;2,845486111
02114;26266;54623;1156;2,098003630
03001;31094;74402;1675;2,396280401
03002;20319;43609;935;2,174418605
03003;23025;53645;906;2,317135550
03004;21211;43451;1004;2,020120724
03005;18292;37614;692;2,035294118
03006;23167;51403;2018;2,207877462
03007;16443;34571;985;2,078059072
03008;22474;45297;1060;2,011385199
03009;22858;50204;1000;2,197802198
03010;23895;51334;1029;2,143750000
03011;20388;44262;1035;2,147302905
03012;22769;50733;1003;2,214128035
03013;18627;41078;1003;2,194748359
03014;22118;50543;1222;2,284112150
03015;17850;41043;1054;2,306345733
03016;15584;33418;806;2,137931034
03017;22202;50388;1194;2,265654649
03018;20058;41131;1843;2,052338530
03019;24099;55172;1803;2,270780856
03020;19274;41307;1300;2,131147541
03021;20705;44337;1870;2,144495413
03022;16477;35101;1079;2,140873016
03023;20302;43752;943;2,143181818
03024;20263;47088;1232;2,302803738
03025;20322;40764;1415;1,998587571
03026;20999;46667;1724;2,256544503
03027;18087;40586;1215;2,237569061
03028;22581;53411;1437;2,332792208
03029;26411;66976;1610;2,547468354
03030;27090;75188;789;2,768421053
03031;22875;54563;1110;2,371794872
03032;23772;52861;1044;2,254859611
03033;22065;52579;1462;2,416528926
03034;25052;66741;1366;2,662768031
03035;25938;65771;1139;2,525498891
03036;26936;75150;894;2,793750000
03037;27424;78294;1319;2,848812095
03038;26214;73980;1049;2,812332440
03039;28753;81693;835;2,849829352
03040;27740;81268;790;2,925925926
03041;25940;61520;1138;2,356107660
03042;23476;56501;1139;2,402953586
03044;22783;57257;1172;2,536796537
03045;27421;68623;975;2,487244898
03046;29066;76266;910;2,607449857
03047;23131;55918;1648;2,496969697
03048;23590;57654;1135;2,500000000
03049;24241;60534;1811;2,480821918
03050;24611;51056;1372;2,069381599
03051;24843;59404;1101;2,367741935
03052;23318;55582;980;2,350119904
03053;20475;49089;1385;2,371575342
03054;26860;62922;1304;2,312056738
03055;18108;37873;942;2,038961039
03056;25477;64672;1106;2,479820628
03057;26503;64320;1077;2,414798206
03058;21933;45812;1197;2,067357513
03059;23890;55207;1143;2,276892430
03060;31225;68238;795;2,172131148
03061;20175;39509;852;1,910313901
03063;25968;59758;775;2,306547619
03064;27127;66033;942;2,427835052
03065;26922;64713;1474;2,396747967
03066;32377;74128;896;2,285714286
03067;32207;75383;1205;2,304015296
03069;34765;98221;1002;3,221864952
03070;34765;98221;689;2,409090909
03071;34765;98221;1373;2,292153589
03073;24572;61486;1638;2,463157895
03074;25528;60510;1098;2,361290323
03076;28418;69574;1025;2,452153110
03077;30216;79330;1607;2,600323625
03078;27793;73529;1487;2,627208481
03079;22552;50550;1260;2,234042553
03080;29274;84009;1793;2,864217252
03081;34765;98221;1833;3,070351759
03082;34765;98221;1401;2,882716049
03084;28929;78575;1523;2,700354610
03085;34552;88638;861;2,547337278
03086;25468;61075;1023;2,395784543
03087;29771;78539;1671;2,631496063
03088;23552;54344;634;2,313868613
03089;25354;65323;1786;2,595930233
03090;27359;75944;1103;2,764411028
03091;28114;77556;1605;2,748287671
03092;29351;76369;2190;2,610250298
03093;29100;79278;1170;2,727272727
03094;26453;77188;781;2,903345725
03095;25765;61720;1840;2,443559097
03096;26986;65669;1942;2,448928121
03097;21111;55959;1297;2,707724426
03098;20779;46471;1909;2,237983587
03099;22133;46654;1425;2,142857143
03100;24404;57880;1211;2,426853707
03101;25799;64590;1378;2,547134935
04001;34765;96370;1074;2,011235955
04002;34765;98221;1048;2,392694064
04003;34765;87454;820;2,234332425
04004;34765;98221;988;2,445544554
04005;34765;98221;780;2,267441860
04006;34765;98221;964;2,211009174
04007;34765;90124;1356;2,102325581
04008;29288;63616;1090;1,981818182
04009;34765;91396;1765;2,690548780
04010;34765;98221;775;2,654109589
04011;34765;87170;1444;2,325281804
04012;34765;98221;1277;2,382462687
04013;34765;98221;880;2,365591398
04014;31854;73442;1183;2,270633397
04015;33963;79379;1260;2,254025045
04016;30348;69736;1374;2,198400000
04017;27316;61341;1321;2,169129721
04018;28291;63642;1231;2,238181818
04019;27989;62678;720;2,201834862
04020;25072;53746;768;2,104109589
04021;26339;57918;837;2,146153846
04023;28671;62197;859;2,079903148
04024;21256;44554;1273;2,030303030
04025;23821;49331;917;2,079365079
04026;25149;57208;870;2,236503856
04027;21198;49770;1531;2,305722892
04028;23555;49563;1418;2,064046579
04029;30858;72813;1418;2,351575456
04030;29436;67611;1391;2,261788618
04031;28961;69754;877;2,370270270
04032;20746;46751;836;2,217506631
04033;24137;56248;1081;2,304904051
04034;24213;58050;1592;2,337738620
04035;25382;54400;1445;2,100290698
04036;28587;65384;712;2,296774194
04037;24731;52994;805;2,124010554
04038;23704;52881;1112;2,264765784
04039;28621;60728;767;2,089918256
04040;29107;68229;754;2,327160494
04041;23851;52124;928;2,148148148
