fid,COD_SEC,Densidad,Edad_Prome,area_m2,renta_med_persona,renta_med_hog,pob_sec_tot,per_hog_med,Código_es,nombre_est,area_trocito,por_troc_sec,por_tro_buf,hog_sec,por_hog_1,por_hog_2,por_hog_3,por_hog_4,por_hog_5,pog_hog_6,por_hog_7,por_hog_8,por_hog_9,por_hog_10,por_hog_11,por_hog_12,por_hog_13,por_hog_14,por_hog_15,por_hog_16,por_hog_17,por_hog_18,por_hog_19,por_hog_20,por_hog_21,por_hog_22,hog_troc,pob_troc,por_pob15,por_pob65,por_pob16_64,por_pob_ext
"1","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"209",Ópera,196625.31639248,0.293920178536,0.250351129409929,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"173","342",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"2","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"210",Santo Domingo,79206.3897616901,0.118399586823695,0.100848708076538,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"70","138",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"3","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"211",Noviciado,9320.57749903109,0.0139326199333639,0.0118673279028704,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"8","16",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"5","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"308",Plaza de España,78752.0924266754,0.117720492410698,0.100270278742027,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"69","137",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"6","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"309",Ventura Rodríguez,78752.0924266754,0.117720492410698,0.100270278742027,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"69","137",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"7","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"625",Príncipe Pío,219019.193948459,0.327395076937325,0.278863899997498,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"193","381",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"8","01001",18.2497857,47.32622951,668975.221,"26032","55934","1165",2.110507246,"626",Puerta del Ángel,28959.4727807105,0.0432893056000209,0.0368723460985833,"589",0.137521222410866,0.181663837011885,0.0967741935483871,0.0441426146010187,0.00509337860780985,0.00509337860780985,0.154499151103565,0.118845500848896,0.0288624787775891,0.0254668930390492,0.00169779286926995,0.0373514431239389,0.0135823429541596,0.00169779286926995,0.0628183361629881,0.00848896434634975,0.00169779286926995,0.00169779286926995,0.0271646859083192,0.0424448217317487,0,0.0033955857385399,"25","50",0.0721311475,0.2303278689,0.6975409836,0.2557377049
"9","01002",353.38352561,42.34188912,27581.716,"18878","38385","983",1.931237721,"209",Ópera,22722.246623842,0.823815553167252,0.0289308630718489,"514",0.215953307392996,0.22568093385214,0.0700389105058366,0.0311284046692607,0.00778210116731518,0,0.194552529182879,0.0544747081712062,0.0194552529182879,0.00778210116731518,0,0.0214007782101167,0.00389105058365759,0,0.066147859922179,0.0194552529182879,0.00389105058365759,0.00194552529182879,0.0311284046692607,0.0233463035019455,0.00194552529182879,0,"423","810",0.0574948665,0.1386036961,0.8039014374,0.3275154004
"10","01002",353.38352561,42.34188912,27581.716,"18878","38385","983",1.931237721,"210",Santo Domingo,27581.7160948543,1.00000000343903,0.0351181317955396,"514",0.215953307392996,0.22568093385214,0.0700389105058366,0.0311284046692607,0.00778210116731518,0,0.194552529182879,0.0544747081712062,0.0194552529182879,0.00778210116731518,0,0.0214007782101167,0.00389105058365759,0,0.066147859922179,0.0194552529182879,0.00389105058365759,0.00194552529182879,0.0311284046692607,0.0233463035019455,0.00194552529182879,0,"514","983",0.0574948665,0.1386036961,0.8039014374,0.3275154004
"11","01002",353.38352561,42.34188912,27581.716,"18878","38385","983",1.931237721,"211",Noviciado,23942.93746443,0.868072800997226,0.0304850949287047,"514",0.215953307392996,0.22568093385214,0.0700389105058366,0.0311284046692607,0.00778210116731518,0,0.194552529182879,0.0544747081712062,0.0194552529182879,0.00778210116731518,0,0.0214007782101167,0.00389105058365759,0,0.066147859922179,0.0194552529182879,0.00389105058365759,0.00194552529182879,0.0311284046692607,0.0233463035019455,0.00194552529182879,0,"446","853",0.0574948665,0.1386036961,0.8039014374,0.3275154004
