fid;COD_SEC;Código_es;nombre_est;por_hog_1_pon;por_hog_2_pon;por_hog_3_pon;por_hog_4_pon;por_hog_5_pon;pog_hog_6_pon;por_hog_7_pon;por_hog_8_pon;por_hog_9_pon;por_hog_10_pon;por_hog_11_pon;por_hog_12_pon;por_hog_13_pon;por_hog_14_pon;por_hog_15_pon;por_hog_16_pon;por_hog_17_pon;por_hog_18_pon;por_hog_19_pon;por_hog_20_pon;por_hog_21_pon;por_hog_22_pon;por_pob15_pon;por_pob65_pon;por_pob16_64_pon;por_pob_ext_pon;hog_troc;pob_troc;Densidad_pon;Edad_Prome_pon;renta_med_persona_pon;renta_med_hog_pon;per_hog_med_pon
1;1001;209;Ópera;0,034429;0,045480;0,024228;0,011051;0,001275;0,001275;0,038679;0,029753;0,007226;0,006376;0,000425;0,009351;0,003400;0,000425;0,015727;0,002125;0,000425;0,000425;0,006801;0,010626;0,000000;0,000850;0,018058;0,057663;0,174630;0,064024;173;342;4,568854461;11,85;6517,14;14003,14;0,53
2;1001;210;Santo Domingo;0,013869;0,018321;0,009760;0,004452;0,000514;0,000514;0,015581;0,011985;0,002911;0,002568;0,000171;0,003767;0,001370;0,000171;0,006335;0,000856;0,000171;0,000171;0,002740;0,004281;0,000000;0,000342;0,007274;0,023228;0,070346;0,025791;70;138;4,568854461;11,85;6517,14;14003,14;0,53
3;1001;211;Noviciado;0,001632;0,002156;0,001148;0,000524;0,000060;0,000060;0,001833;0,001410;0,000343;0,000302;0,000020;0,000443;0,000161;0,000020;0,000745;0,000101;0,000020;0,000020;0,000322;0,000504;0,000000;0,000040;0,000856;0,002733;0,008278;0,003035;8;16;4,568854461;11,85;6517,14;14003,14;0,53
5;1001;308;Plaza de España;0,013789;0,018215;0,009704;0,004426;0,000511;0,000511;0,015492;0,011917;0,002894;0,002554;0,000170;0,003745;0,001362;0,000170;0,006299;0,000851;0,000170;0,000170;0,002724;0,004256;0,000000;0,000340;0,007233;0,023095;0,069943;0,025643;69;137;4,568854461;11,85;6517,14;14003,14;0,53
6;1001;309;Ventura Rodríguez;0,013789;0,018215;0,009704;0,004426;0,000511;0,000511;0,015492;0,011917;0,002894;0,002554;0,000170;0,003745;0,001362;0,000170;0,006299;0,000851;0,000170;0,000170;0,002724;0,004256;0,000000;0,000340;0,007233;0,023095;0,069943;0,025643;69;137;4,568854461;11,85;6517,14;14003,14;0,53
7;1001;625;Príncipe Pío;0,038350;0,050659;0,026987;0,012310;0,001420;0,001420;0,043084;0,033142;0,008049;0,007102;0,000473;0,010416;0,003788;0,000473;0,017518;0,002367;0,000473;0,000473;0,007575;0,011836;0,000000;0,000947;0,020115;0,064230;0,194519;0,071316;193;381;4,568854461;11,85;6517,14;14003,14;0,53
8;1001;626;Puerta del Ángel;0,005071;0,006698;0,003568;0,001628;0,000188;0,000188;0,005697;0,004382;0,001064;0,000939;0,000063;0,001377;0,000501;0,000063;0,002316;0,000313;0,000063;0,000063;0,001002;0,001565;0,000000;0,000125;0,002660;0,008493;0,025720;0,009430;25;50;4,568854461;11,85;6517,14;14003,14;0,53
9;1002;209;Ópera;0,006248;0,006529;0,002026;0,000901;0,000225;0,000000;0,005629;0,001576;0,000563;0,000225;0,000000;0,000619;0,000113;0,000000;0,001914;0,000563;0,000113;0,000056;0,000901;0,000675;0,000056;0,000000;0,001663;0,004010;0,023258;0,009475;423;810;88,46996475;10,60;4726,13;9609,73;0,48
10;1002;210;Santo Domingo;0,007584;0,007925;0,002460;0,001093;0,000273;0,000000;0,006832;0,001913;0,000683;0,000273;0,000000;0,000752;0,000137;0,000000;0,002323;0,000683;0,000137;0,000068;0,001093;0,000820;0,000068;0,000000;0,002019;0,004868;0,028232;0,011502;514;983;88,46996475;10,60;4726,13;9609,73;0,48
11;1002;211;Noviciado;0,006583;0,006880;0,002135;0,000949;0,000237;0,000000;0,005931;0,001661;0,000593;0,000237;0,000000;0,000652;0,000119;0,000000;0,002017;0,000593;0,000119;0,000059;0,000949;0,000712;0,000059;0,000000;0,001753;0,004225;0,024507;0,009984;446;853;88,46996475;10,60;4726,13;9609,73;0,48
