cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"1102",Abrantes,11837.42834044,42.8102204368,"25555","3523","17650","4382","17004","8551","11159"
"519",Acacias,15726.0968518,46.38847609625,"29898","2689","20397","6812","25632","4266","12893"
"808",Aeropuerto T-4,0.65700619,42.31375064,"51","7","37","7","38","13","23"
"806",Aeropuerto T1-T2-T3,140.51539088,43.455044875,"74","9","54","11","56","18","33"
"552",Alameda de Osuna,2373.13246243,47.4622087753846,"11559","1623","6560","3376","10654","905","4146"
"413",Alfonso XIII,9715.21105161,46.6486674220833,"21651","2545","13485","5621","19204","2447","8523"
"351",Almendrales,6970.66492504,41.588419062,"20060","2871","14232","2957","14307","5753","8999"
"712",Alonso Cano,15192.12874139,45.7515438027027,"28200","2799","19090","6311","23406","4794","12065"
"404",Alonso Martínez,7143.30403057,44.908372656087,"17782","1539","12690","3553","13824","3958","8023"
"253",Alsacia,3599.20660119,46.4263054094118,"12246","1479","8148","2619","10882","1364","5150"
"627",Alto de Extremadura,8844.69297607,44.2635638004348,"18271","1940","12852","3479","13499","4772","8127"
"123",Alto del Arenal,8838.37490376,44.9310487444,"23826","2992","16000","4834","18526","5300","10117"
"527",Aluche,7179.60624458,48.4174306440909,"13792","1438","8833","3521","10697","3095","5581"
"105",Alvarado,18658.0554664,44.0353754105128,"36890","3821","26479","6590","26621","10269","16738"
"718",Antonio Machado,6918.59409917,46.6650899465217,"18632","2423","11333","4876","16661","1971","7164"
"114",Antón Martín,17283.49419725,43.2258493451352,"30815","2160","24388","4267","19962","10853","15421"
"608",Arganzuela-Planetario,5886.96082556,41.7902964466667,"15807","2559","11196","2052","14595","1212","7078"
"310",Argüelles,14134.71706167,46.4332355151429,"28258","2584","18884","6790","23311","4947","11937"
"722",Arroyofresno,1075.2470721,39.0874999657143,"5601","1380","3491","730","5362","239","2206"
"917",Artilleros,8309.02393501,48.7613573832143,"22004","2423","13667","5914","18457","3547","8635"
"415",Arturo Soria,1958.78816757,45.7195615864286,"10292","1473","6402","2417","8839","1453","4045"
"705",Ascao,16750.2048689,44.7772006008108,"34985","3998","24073","6914","25672","9313","15220"
"116",Atocha-Renfe,6313.54745938,46.1273881905556,"10418","941","7319","2158","8269","2149","4625"
"411",Avenida de América,14414.20859323,45.2339726455555,"26492","2596","18025","5871","21142","5350","11393"
"254",Avenida de Guadalajara,4507.03053787,43.7511625878947,"15388","1788","11005","2595","13899","1489","6958"
"414",Avenida de La Paz,2638.23575359,46.149582941875,"11366","1554","7184","2628","10154","1212","4539"
"720",Avenida de la Ilustración,12790.79959794,48.3788449703125,"23665","2734","14316","6615","20872","2793","9047"
"1018",Aviación Española,3836.95648772,48.5793382426667,"8399","943","5297","2159","6685","1714","3346"
"152",Bambú,1437.62385259,44.1182742388889,"5812","896","3558","1358","5354","458","2247"
"206",Banco de España,3674.43545937,45.0286886089474,"9934","760","7490","1684","7190","2744","4732"
"807",Barajas,1683.86180946,42.5569977991667,"7529","987","5306","1236","6364","1165","3352"
"707",Barrio de la Concepción,16260.43943767,45.209614174054,"34470","3663","23863","6944","25102","9368","15089"
"902",Barrio del Pilar,12938.11814113,49.3881513780645,"22283","2252","12629","7402","19616","2667","7977"
"1014",Batán,4119.14085056,46.836289986,"10394","1178","6754","2462","8191","2203","4267"
"1002",Begoña,1723.00006533,45.5193351281818,"5579","592","3793","1194","4212","1367","2396"
"109",Bilbao,15766.89326776,44.8182529718421,"30002","2424","21872","5706","22919","7083","13828"
"122",Buenos Aires,6275.09046456,44.6956768257143,"14757","1824","10045","2888","11121","3636","6345"
"307",Callao,9081.20877825,43.6283759748148,"22269","1317","17545","3407","14884","7385","11093"
"529",Campamento,6258.50462828,46.6268399713043,"19835","2365","12839","4631","14713","5122","8118"
"214",Canal,15947.63771803,45.6885055036111,"27967","2750","18965","6252","23609","4358","11988"
"417",Canillas,5766.96177011,48.4370070447826,"17213","1836","10337","5040","15541","1672","6533"
"501",Canillejas,3379.19577422,45.2053551713333,"9732","1215","6256","2261","7810","1922","3954"
"525",Carabanchel,11968.01185873,45.7012268792857,"26478","3135","18166","5177","18009","8469","11488"
"1105",Carabanchel Alto,3940.7540847,45.0229228813333,"14252","1847","9644","2761","10331","3921","6099"
"602",Carpetana,13315.68289232,43.985221479375,"30546","3949","21095","5502","20581","9965","13337"
"709",Cartagena,12146.45507514,45.5125113367857,"27495","2778","18570","6147","22737","4758","11739"
"530",Casa de Campo,1120.53664334,47.6168588014286,"4434","479","2943","1012","3651","783","1860"
"151",Chamartín,2772.48414534,45.4264029471429,"7456","979","4808","1669","6469","987","3037"
"513",Chueca,8193.45080542,43.62158579375,"21513","1391","16971","3151","14782","6731","10731"
"504",Ciudad Lineal,9369.81867067,45.4604713711111,"19891","2056","13587","4248","14980","4911","8589"
"622",Ciudad Universitaria,1.87283326,43.93273232,"146","8","103","35","105","41","65"
"354",Ciudad de los Ángeles,7746.01789412,45.7356678208333,"17311","1922","11756","3633","13626","3685","7430"
"802",Colombia,6828.48656754,45.4656620241667,"20399","2787","12622","4990","18356","2043","7978"
"1016",Colonia Jardín,2942.18411208,45.0315590446154,"13832","1702","9524","2606","9570","4262","6022"
"405",Colón,3458.10586389,45.8075601494444,"9710","883","6723","2104","7477","2233","4249"
