Fecha,Precio Promedio (€/L)
01-01-2015,1.144
02-01-2015,1.137
03-01-2015,1.132
04-01-2015,1.131
05-01-2015,1.129
06-01-2015,1.132
07-01-2015,1.131
08-01-2015,1.123
09-01-2015,1.121
10-01-2015,1.119
11-01-2015,1.118
12-01-2015,1.117
13-01-2015,1.117
14-01-2015,1.116
15-01-2015,1.106
16-01-2015,1.106
17-01-2015,1.111
18-01-2015,1.111
19-01-2015,1.111
20-01-2015,1.116
21-01-2015,1.114
22-01-2015,1.113
23-01-2015,1.113
24-01-2015,1.113
25-01-2015,1.113
26-01-2015,1.114
27-01-2015,1.125
28-01-2015,1.126
29-01-2015,1.124
30-01-2015,1.133
31-01-2015,1.131
