Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-01-01,N/A,N/A,N/A,"0,0",N/A,64
2015-01-02,N/A,N/A,N/A,"0,0",N/A,65
2015-01-03,N/A,N/A,N/A,"0,0",N/A,66
2015-01-04,N/A,N/A,N/A,"0,0",N/A,64
2015-01-05,N/A,N/A,N/A,"0,0",N/A,70
2015-01-06,N/A,N/A,N/A,"0,0",N/A,75
2015-01-07,N/A,N/A,N/A,"0,0",N/A,71
2015-01-08,N/A,N/A,N/A,"0,0",N/A,68
2015-01-09,N/A,N/A,N/A,"0,0",N/A,70
2015-01-10,N/A,N/A,N/A,"0,0",N/A,66
2015-01-11,N/A,N/A,N/A,"0,0",N/A,71
2015-01-12,N/A,N/A,N/A,"0,0",N/A,73
2015-01-13,N/A,N/A,N/A,"0,0",N/A,76
2015-01-14,N/A,N/A,N/A,"0,0",N/A,92
2015-01-15,N/A,N/A,N/A,"9,2",N/A,88
2015-01-16,N/A,N/A,N/A,"0,0",N/A,65
2015-01-17,N/A,N/A,N/A,N/A,N/A,64
2015-01-18,N/A,N/A,N/A,"3,0",N/A,93
2015-01-19,N/A,N/A,N/A,"0,6",N/A,61
2015-01-20,N/A,N/A,N/A,"0,0",N/A,78
2015-01-21,N/A,N/A,N/A,"0,2",N/A,83
2015-01-22,N/A,N/A,N/A,"0,0",N/A,68
2015-01-23,N/A,N/A,N/A,"0,0",N/A,59
2015-01-24,N/A,N/A,N/A,"0,0",N/A,63
2015-01-25,N/A,N/A,N/A,"0,0",N/A,46
2015-01-26,N/A,N/A,N/A,"0,0",N/A,61
2015-01-27,N/A,N/A,N/A,"0,0",N/A,64
2015-01-28,N/A,N/A,N/A,"0,0",N/A,65
2015-01-29,N/A,N/A,N/A,"0,0",N/A,71
2015-01-30,N/A,N/A,N/A,"3,0",N/A,69
2015-01-31,N/A,N/A,N/A,"0,0",N/A,63
2015-02-01,N/A,N/A,N/A,"0,0",N/A,59
2015-02-02,N/A,N/A,N/A,"3,0",N/A,83
2015-02-03,N/A,N/A,N/A,"2,6",N/A,77
2015-02-04,N/A,N/A,N/A,"0,0",N/A,57
2015-02-05,N/A,N/A,N/A,"0,0",N/A,47
2015-02-06,N/A,N/A,N/A,"0,0",N/A,57
2015-02-07,N/A,N/A,N/A,"0,0",N/A,69
2015-02-08,N/A,N/A,N/A,"0,0",N/A,64
2015-02-09,N/A,N/A,N/A,"0,0",N/A,60
2015-02-10,N/A,N/A,N/A,"0,2",N/A,72
2015-02-11,N/A,N/A,N/A,"0,2",N/A,85
2015-02-12,N/A,N/A,N/A,"0,0",N/A,74
2015-02-13,N/A,N/A,N/A,"0,0",N/A,74
2015-02-14,N/A,N/A,N/A,"3,0",N/A,67
2015-02-15,N/A,N/A,N/A,"0,0",N/A,71
2015-02-16,N/A,N/A,N/A,"0,2",N/A,68
2015-02-17,N/A,N/A,N/A,"0,0",N/A,54
2015-02-18,N/A,N/A,N/A,"0,0",N/A,70
2015-02-19,N/A,N/A,N/A,"0,0",N/A,63
2015-02-20,N/A,N/A,N/A,"1,0",N/A,67
2015-02-21,N/A,N/A,N/A,"0,0",N/A,59
2015-02-22,N/A,N/A,N/A,"0,0",N/A,62
2015-02-23,N/A,N/A,N/A,"0,0",N/A,78
2015-02-24,N/A,N/A,N/A,"0,0",N/A,57
2015-02-25,N/A,N/A,N/A,N/A,N/A,61
2015-02-27,N/A,N/A,N/A,"0,0",N/A,N/A
2015-02-28,N/A,N/A,N/A,"0,0",N/A,65
2015-03-01,N/A,N/A,N/A,"0,0",N/A,66
2015-03-02,N/A,N/A,N/A,"0,0",N/A,76
2015-03-03,N/A,N/A,N/A,"0,0",N/A,81
2015-03-04,N/A,N/A,N/A,"0,0",N/A,58
2015-03-05,N/A,N/A,N/A,"0,0",N/A,45
2015-03-06,N/A,N/A,N/A,"0,0",N/A,45
2015-03-07,N/A,N/A,N/A,"0,0",N/A,49
2015-03-08,N/A,N/A,N/A,"0,0",N/A,44
2015-03-09,N/A,N/A,N/A,"0,0",N/A,47
2015-03-10,N/A,N/A,N/A,"0,0",N/A,44
2015-03-11,N/A,N/A,N/A,"0,0",N/A,50
2015-03-12,N/A,N/A,N/A,"0,0",N/A,53
2015-03-13,N/A,N/A,N/A,"0,0",N/A,58
2015-03-14,N/A,N/A,N/A,"0,0",N/A,42
2015-03-15,N/A,N/A,N/A,"0,0",N/A,60
2015-03-16,N/A,N/A,N/A,"0,0",N/A,54
2015-03-17,N/A,N/A,N/A,"0,0",N/A,61
2015-03-18,N/A,N/A,N/A,"5,0",N/A,83
2015-03-19,N/A,N/A,N/A,"0,0",N/A,82
2015-03-20,N/A,N/A,N/A,"1,6",N/A,73
2015-03-21,N/A,N/A,N/A,"0,8",N/A,86
2015-03-22,N/A,N/A,N/A,"0,8",N/A,74
2015-03-23,N/A,N/A,N/A,N/A,N/A,97
2015-03-24,N/A,N/A,N/A,N/A,N/A,75
2015-03-25,N/A,N/A,N/A,"0,0",N/A,50
2015-03-26,N/A,N/A,N/A,"0,0",N/A,66
2015-03-27,N/A,N/A,N/A,"0,0",N/A,68
2015-03-28,N/A,N/A,N/A,"0,0",N/A,55
2015-03-29,N/A,N/A,N/A,"0,0",N/A,56
2015-03-30,N/A,N/A,N/A,"0,0",N/A,56
2015-03-31,N/A,N/A,N/A,N/A,N/A,51
2015-04-05,N/A,N/A,N/A,N/A,N/A,50
2015-04-06,N/A,N/A,N/A,"0,0",N/A,64
2015-04-07,N/A,N/A,N/A,"0,0",N/A,56
2015-04-08,N/A,N/A,N/A,"0,0",N/A,47
2015-04-09,N/A,N/A,N/A,"4,6",N/A,83
2015-04-10,N/A,N/A,N/A,"0,0",N/A,68
2015-04-11,N/A,N/A,N/A,"0,0",N/A,65
2015-04-12,N/A,N/A,N/A,"0,0",N/A,56
2015-04-13,N/A,N/A,N/A,"0,0",N/A,42
2015-04-14,N/A,N/A,N/A,"0,0",N/A,45
2015-04-15,N/A,N/A,N/A,"8,8",N/A,55
2015-04-16,N/A,N/A,N/A,"0,2",N/A,75
2015-04-17,N/A,N/A,N/A,"0,2",N/A,63
2015-04-18,N/A,N/A,N/A,"0,0",N/A,59
2015-04-19,N/A,N/A,N/A,"0,0",N/A,61
2015-04-20,N/A,N/A,N/A,"0,0",N/A,58
2015-04-21,N/A,N/A,N/A,"0,0",N/A,51
2015-04-22,N/A,N/A,N/A,"0,0",N/A,56
2015-04-23,N/A,N/A,N/A,"0,0",N/A,54
2015-04-24,N/A,N/A,N/A,"0,0",N/A,60
2015-04-25,N/A,N/A,N/A,"3,0",N/A,68
2015-04-26,N/A,N/A,N/A,"11,2",N/A,94
2015-04-27,N/A,N/A,N/A,"0,0",N/A,66
2015-05-02,N/A,N/A,N/A,"0,0",N/A,70
2015-05-03,N/A,N/A,N/A,"0,0",N/A,59
2015-05-04,N/A,N/A,N/A,"0,0",N/A,52
2015-05-05,N/A,N/A,N/A,"0,0",N/A,53
2015-05-06,N/A,N/A,N/A,"0,0",N/A,53
2015-05-07,N/A,N/A,N/A,"0,0",N/A,47
2015-05-08,N/A,N/A,N/A,"0,0",N/A,52
2015-05-09,N/A,N/A,N/A,"0,0",N/A,55
2015-05-10,N/A,N/A,N/A,"0,0",N/A,39
2015-05-11,N/A,N/A,N/A,"0,0",N/A,43
2015-05-12,N/A,N/A,N/A,"0,0",N/A,39
2015-05-13,N/A,N/A,N/A,"0,0",N/A,35
2015-05-14,N/A,N/A,N/A,"0,0",N/A,38
2015-05-15,N/A,N/A,N/A,"0,0",N/A,41
2015-05-16,N/A,N/A,N/A,"0,0",N/A,39
2015-05-17,N/A,N/A,N/A,"0,0",N/A,38
2015-05-18,N/A,N/A,N/A,"0,0",N/A,38
2015-05-19,N/A,N/A,N/A,"0,0",N/A,52
2015-05-20,N/A,N/A,N/A,"0,0",N/A,44
2015-05-21,N/A,N/A,N/A,"0,0",N/A,38
2015-05-22,N/A,N/A,N/A,"0,0",N/A,38
2015-05-23,N/A,N/A,N/A,"0,0",N/A,41
2015-05-24,N/A,N/A,N/A,"0,0",N/A,43
2015-05-25,N/A,N/A,N/A,"0,0",N/A,41
2015-05-26,N/A,N/A,N/A,"0,0",N/A,41
2015-05-27,N/A,N/A,N/A,"0,0",N/A,35
2015-05-28,N/A,N/A,N/A,"0,0",N/A,39
2015-05-29,N/A,N/A,N/A,"0,0",N/A,41
2015-05-30,N/A,N/A,N/A,"0,0",N/A,49
2015-05-31,N/A,N/A,N/A,"0,0",N/A,41
2015-06-01,N/A,N/A,N/A,"0,0",N/A,42
2015-06-02,N/A,N/A,N/A,"0,0",N/A,40
2015-06-03,N/A,N/A,N/A,"0,0",N/A,40
2015-06-04,N/A,N/A,N/A,"0,0",N/A,34
2015-06-10,N/A,N/A,N/A,"12,2",N/A,63
2015-06-11,N/A,N/A,N/A,"12,4",N/A,79
2015-06-12,N/A,N/A,N/A,"0,0",N/A,60
2015-06-30,N/A,N/A,N/A,"0,0",N/A,31
2015-07-01,N/A,N/A,N/A,N/A,N/A,32
2015-07-02,N/A,N/A,N/A,N/A,N/A,35
2015-07-03,N/A,N/A,N/A,"0,0",N/A,41
2015-07-04,N/A,N/A,N/A,"0,0",N/A,38
2015-07-05,N/A,N/A,N/A,"0,0",N/A,37
2015-07-06,N/A,N/A,N/A,"0,0",N/A,33
2015-07-07,N/A,N/A,N/A,N/A,N/A,30
2015-07-08,N/A,N/A,N/A,N/A,N/A,25
2015-07-16,N/A,N/A,N/A,N/A,N/A,34
2015-07-18,N/A,N/A,N/A,N/A,N/A,40
2015-07-19,N/A,N/A,N/A,"0,0",N/A,39
2015-07-20,N/A,N/A,N/A,N/A,N/A,38
2015-07-22,N/A,N/A,N/A,"0,0",N/A,45
2015-07-23,N/A,N/A,N/A,"0,0",N/A,43
2015-07-24,N/A,N/A,N/A,"0,0",N/A,37
2015-07-25,N/A,N/A,N/A,"0,0",N/A,41
2015-07-26,N/A,N/A,N/A,"0,0",N/A,34
2015-07-27,N/A,N/A,N/A,"0,0",N/A,34
2015-07-28,N/A,N/A,N/A,"0,0",N/A,35
2015-07-29,N/A,N/A,N/A,"0,0",N/A,32
2015-07-30,N/A,N/A,N/A,"0,0",N/A,46
2015-07-31,N/A,N/A,N/A,N/A,N/A,52
2015-08-01,N/A,N/A,N/A,"0,0",N/A,45
2015-08-02,N/A,N/A,N/A,N/A,N/A,44
2015-08-03,N/A,N/A,N/A,"0,0",N/A,44
2015-08-04,N/A,N/A,N/A,"0,0",N/A,36
2015-08-05,N/A,N/A,N/A,N/A,N/A,32
2015-08-07,N/A,N/A,N/A,"0,0",N/A,27
2015-08-08,N/A,N/A,N/A,"0,0",N/A,32
2015-08-09,N/A,N/A,N/A,"0,0",N/A,37
2015-08-10,N/A,N/A,N/A,"0,0",N/A,34
2015-08-11,N/A,N/A,N/A,"0,0",N/A,39
2015-08-12,N/A,N/A,N/A,"0,0",N/A,34
2015-08-13,N/A,N/A,N/A,"0,0",N/A,40
2015-08-14,N/A,N/A,N/A,"0,0",N/A,48
2015-08-15,N/A,N/A,N/A,"0,0",N/A,43
2015-08-16,N/A,N/A,N/A,"0,0",N/A,44
2015-08-17,N/A,N/A,N/A,"0,0",N/A,46
2015-08-18,N/A,N/A,N/A,"0,0",N/A,42
2015-08-20,N/A,N/A,N/A,"0,0",N/A,39
2015-08-21,N/A,N/A,N/A,"18,8",N/A,48
2015-08-22,N/A,N/A,N/A,"0,0",N/A,58
