Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-01-01,"10,4","4,7","-1,0","0,0","0,8",61
2015-01-02,"12,0","5,5","-1,0","0,0","0,6",60
2015-01-03,"11,4","6,3","1,2","0,0","0,3",65
2015-01-04,"14,0","7,7","1,4","0,0","0,3",58
2015-01-05,"12,0","6,8","1,5","0,0","1,4",69
2015-01-06,"9,8","5,3","0,8","0,0","0,8",76
2015-01-07,"10,7","5,8","0,8","0,0","1,1",66
2015-01-08,"12,3","6,4","0,4","0,0","0,8",66
2015-01-09,"13,5","7,8","2,0","0,0","0,3",61
2015-01-10,"12,6","7,2","1,7","0,0","0,8",68
2015-01-11,"13,7","8,0","2,4","0,0","0,8",64
2015-01-12,"11,8","7,7","3,6","0,0","1,1",67
2015-01-13,"12,4","7,4","2,4","0,0","1,4",69
2015-01-14,"8,2","5,3","2,4","0,0","0,6",86
2015-01-15,"10,8","7,9","5,0","6,1","1,4",88
2015-01-16,"8,0","5,3","2,6","0,0","2,2",66
2015-01-17,"8,5","3,7","-1,1","0,0","1,7",60
2015-01-18,"3,5","1,9","0,3","6,8","0,6",85
2015-01-19,"7,2","3,9","0,6","0,0","4,4",53
2015-01-20,"6,5","3,4","0,2","0,0","0,8",72
2015-01-21,"5,6","3,2","0,8","0,4","1,7",79
2015-01-22,"8,4","5,1","1,8","0,0","2,5",62
2015-01-23,"9,8","5,1","0,4","0,0","2,8",56
2015-01-24,"10,7","4,6","-1,4","0,0","0,0",54
2015-01-25,"12,6","7,2","1,8","0,0","1,7",51
2015-01-26,"12,9","6,7","0,5","0,0","0,8",52
2015-01-27,"13,3","7,6","2,0","0,0","1,1",65
2015-01-28,"12,8","7,0","1,3","0,0","0,3",68
2015-01-29,"12,2","8,0","3,9",Ip,"2,8",73
2015-01-30,"15,4","12,5","9,6","3,7","4,2",82
2015-01-31,"10,8","7,1","3,4",Ip,"5,6",57
2015-02-01,"8,0","4,9","1,8","0,0","3,3",50
2015-02-02,"5,1","4,2","3,2","2,6","2,8",83
2015-02-03,"9,6","5,8","2,0","4,3","2,5",75
2015-02-04,"5,1","2,8","0,4","0,0","4,4",52
2015-02-05,"5,6","3,1","0,6","0,0","3,6",46
2015-02-06,"5,7","2,6","-0,4","0,0","2,2",53
2015-02-07,"3,4","1,2","-1,0","0,0","1,4",64
2015-02-08,"8,5","3,4","-1,7","0,0","1,1",58
2015-02-09,"10,4","5,5","0,6","0,0","2,8",57
2015-02-10,"9,0","5,9","2,8","0,0","1,9",64
2015-02-11,"8,6","6,6","4,5","0,0","1,7",75
2015-02-12,"11,6","7,9","4,2","0,0","1,4",67
2015-02-13,"12,2","7,4","2,7","0,0","2,8",71
2015-02-14,"12,3","9,5","6,7","4,3","3,1",76
2015-02-15,"14,8","10,8","6,7","0,0","2,8",72
2015-02-16,"13,1","9,6","6,0","6,9","1,1",64
2015-02-17,"11,8","8,1","4,4","0,0","4,7",48
2015-02-18,"10,8","7,2","3,7","0,0","3,1",52
2015-02-19,"12,6","7,6","2,6","0,0","1,1",64
2015-02-20,"11,3","6,7","2,1","3,4","0,8",66
2015-02-21,"13,0","9,0","5,0","0,0","2,2",60
2015-02-22,"13,8","8,0","2,2","0,0","2,5",57
2015-02-23,"13,7","10,2","6,6","0,0","4,2",70
2015-02-24,"11,5","7,8","4,2","0,0","3,9",53
2015-02-25,"14,3","9,2","4,1","0,0","3,6",52
2015-02-26,"13,4","10,0","6,6","0,0","2,2",64
2015-02-27,"14,3","10,8","7,4","0,0","1,9",51
2015-02-28,"16,4","10,1","3,8","0,0","1,4",58
2015-03-01,"18,7","14,2","9,6","0,0","2,5",64
2015-03-02,"18,1","13,1","8,1","0,0","1,4",76
2015-03-03,"17,2","13,2","9,1",Ip,"0,3",81
2015-03-04,"15,2","10,1","5,0","0,0","3,1",52
2015-03-05,"14,5","8,4","2,3","0,0","2,2",38
2015-03-06,"18,3","11,4","4,6","0,0","1,7",36
2015-03-07,"21,6","13,3","5,0","0,0","0,8",40
2015-03-08,"22,2","14,2","6,1","0,0","0,8",37
2015-03-09,"21,7","13,8","6,0","0,0","0,8",37
2015-03-10,"22,6","15,4","8,2","0,0","1,9",36
2015-03-11,"22,4","14,3","6,2","0,0","1,1",47
2015-03-12,"21,5","14,8","8,0","0,0","0,8",44
2015-03-13,"18,0","13,3","8,6","0,0","3,9",45
2015-03-14,"13,7","9,0","4,4","0,0","3,3",37
2015-03-15,"9,3","5,8","2,4","0,0","1,4",49
2015-03-16,"12,5","6,8","1,2","0,0","1,4",47
2015-03-17,"13,6","9,2","4,8","0,0","1,9",54
2015-03-18,"9,1","6,2","3,2","9,0","2,5",77
2015-03-19,"11,9","8,8","5,8","0,4","3,6",77
2015-03-20,"13,1","10,6","8,2","4,7","5,6",69
2015-03-21,"11,6","9,2","6,8","2,5","2,5",81
2015-03-22,"12,5","10,1","7,7","5,2","1,9",75
2015-03-23,"8,5","7,2","6,0","14,8","1,4",94
2015-03-24,"14,0","10,0","6,1","0,0","4,2",69
2015-03-25,"10,3","6,9","3,5","0,0","5,6",46
2015-03-26,"14,7","8,6","2,5","0,0","2,2",59
2015-03-27,"20,5","14,6","8,6","0,0","1,1",64
2015-03-28,"25,0","16,8","8,6","0,0","1,7",51
2015-03-29,"23,0","17,0","11,1","0,0","1,9",42
2015-03-30,"26,7","19,8","13,0","0,0","2,5",39
2015-03-31,"26,6","19,3","12,0","0,0","1,4",42
2015-04-01,"22,3","16,0","9,8","0,0","1,9",44
2015-04-02,"23,6","15,6","7,7","0,0","1,9",37
2015-04-03,"24,0","18,2","12,3","0,0","1,7",34
2015-04-04,"22,0","15,9","9,8","0,0","3,1",33
2015-04-05,"23,7","16,4","9,0","0,0","1,4",38
2015-04-06,"21,2","15,4","9,6","0,0","1,9",54
2015-04-07,"18,3","13,2","8,2","0,0","3,1",49
2015-04-08,"18,0","12,4","6,7","0,0","3,3",41
2015-04-09,"10,8","8,4","6,1","5,8","2,5",72
2015-04-10,"16,6","12,6","8,5","0,0","1,1",56
2015-04-11,"22,0","15,9","9,8","0,0","2,5",55
2015-04-12,"21,2","16,0","10,8","0,0","2,5",50
2015-04-13,"23,0","17,8","12,7","0,0","4,7",39
2015-04-14,"24,5","18,2","11,8","0,1","4,2",33
2015-04-15,"18,8","15,1","11,4","18,2","1,9",50
2015-04-16,"16,7","13,4","10,2","0,0","2,8",75
2015-04-17,"20,0","15,8","11,6","0,0","1,7",63
2015-04-18,"18,9","14,0","9,2","0,0","3,1",55
2015-04-19,"18,8","13,0","7,2","0,0","0,8",50
2015-04-20,"21,3","15,0","8,6","0,0","2,2",46
2015-04-21,"22,1","17,0","12,0","0,0","3,6",43
2015-04-22,"21,6","16,7","11,8","0,0","2,2",50
2015-04-23,"23,6","17,0","10,4","0,0","1,7",45
2015-04-24,"22,5","17,3","12,1","0,0","1,7",50
2015-04-25,"18,8","15,2","11,6","5,5","2,8",62
2015-04-26,"15,0","12,1","9,2","17,5","0,6",90
2015-04-27,"16,6","12,3","8,0","0,0","2,2",66
2015-04-28,"19,5","14,0","8,6","0,0","2,2",54
2015-04-29,"20,8","15,7","10,6","0,0","2,2",55
2015-04-30,"23,0","16,5","10,0","0,0","1,7",56
2015-05-01,"23,7","18,3","12,9","0,0","1,9",60
2015-05-02,"26,4","20,3","14,2","0,0","2,8",67
2015-05-03,"21,4","19,1","16,8","0,1","1,4",54
2015-05-04,"26,9","20,8","14,6",Ip,"2,2",49
2015-05-05,"21,0","16,2","11,5","0,0","3,1",54
2015-05-06,"23,0","16,2","9,4","0,0","1,4",45
2015-05-07,"28,2","19,6","11,1","0,0","1,9",36
2015-05-08,"24,7","18,8","12,9","0,0","3,3",59
2015-05-09,"28,2","20,6","13,0","0,0","1,4",45
2015-05-10,"31,5","24,0","16,4","0,0","1,7",35
2015-05-11,"32,4","24,8","17,2","0,0","1,4",37
2015-05-12,"33,3","25,2","17,2","0,0","1,7",37
2015-05-13,"35,5","27,5","19,5","0,0","2,2",29
2015-05-14,"32,5","24,4","16,4","0,0","2,5",32
2015-05-15,"23,0","17,4","11,8","0,0","3,9",39
2015-05-16,"27,7","19,0","10,4","0,0","2,8",42
2015-05-17,"30,0","21,8","13,6","0,0","1,7",36
2015-05-18,"31,6","24,0","16,4","0,0","2,2",35
2015-05-19,"22,8","16,6","10,4","0,0","5,0",49
2015-05-20,"21,6","14,5","7,4","0,0","2,8",41
2015-05-21,"22,3","15,4","8,4","0,0","2,8",38
2015-05-22,"22,7","15,2","7,7","0,0","3,3",45
2015-05-23,"23,8","16,6","9,5","0,0","3,6",40
2015-05-24,"24,7","18,0","11,4","0,0","2,5",45
2015-05-25,"25,8","19,8","13,7","0,0","1,9",42
2015-05-26,"27,9","20,2","12,5","0,0","2,8",36
2015-05-27,"29,3","21,3","13,3","0,0","3,1",36
2015-05-28,"31,3","23,8","16,2","0,0","1,4",43
2015-05-29,"30,4","23,8","17,1","0,0","2,2",44
2015-05-30,"29,9","22,4","15,0","0,0","1,9",45
2015-05-31,"30,8","23,6","16,3","0,0","1,9",40
2015-06-01,"31,5","24,4","17,4","0,0","2,2",36
2015-06-02,"32,6","25,5","18,4","0,0","1,9",39
2015-06-03,"33,6","26,7","19,8","0,0","2,5",43
2015-06-04,"32,3","25,8","19,2","0,0","1,4",36
2015-06-05,"32,2","25,1","18,0","0,0","1,7",37
2015-06-06,"34,0","26,7","19,4","0,0","1,7",29
2015-06-07,"34,1","27,6","21,2","0,0","2,5",34
2015-06-08,"33,0","26,4","19,8","0,0","1,7",26
2015-06-09,"32,3","25,4","18,4","0,7","2,5",36
2015-06-10,"27,3","22,2","17,0","9,1","1,7",58
2015-06-11,"22,5","19,0","15,4","20,7","2,2",67
2015-06-12,"23,0","18,8","14,5","0,0","3,3",58
2015-06-13,"22,1","18,6","15,1","0,0","2,5",46
2015-06-14,"22,4","17,5","12,6","2,8","2,5",52
2015-06-15,"20,6","16,1","11,6","2,2","0,3",62
2015-06-16,"25,4","19,0","12,6","0,0","1,4",49
2015-06-17,"26,8","20,7","14,6","0,0","2,5",47
2015-06-18,"30,0","22,4","14,7","0,0","1,9",44
2015-06-19,"32,4","25,0","17,7","0,0","2,2",32
2015-06-20,"33,7","25,5","17,3","0,0","1,7",25
2015-06-21,"35,1","27,6","20,0","0,1","1,9",32
2015-06-22,"34,0","28,0","22,0","0,0","2,2",39
2015-06-23,"31,6","25,3","19,0","9,0","1,7",57
2015-06-24,"30,4","23,9","17,4","0,0","0,8",45
2015-06-25,"32,8","26,0","19,3","0,0","1,7",42
2015-06-26,"35,4","27,6","19,9","0,0","1,7",39
2015-06-27,"37,3","29,0","20,8","0,0","1,9",30
2015-06-28,"38,8","30,5","22,2","0,0","1,7",30
2015-06-29,"39,3","32,1","24,9","0,0","1,1",30
2015-06-30,"38,4","31,5","24,6","0,0","3,1",38
2015-07-01,"35,6","29,2","22,7","0,0","2,2",29
2015-07-02,"33,0","27,6","22,2","0,0","1,4",34
2015-07-03,"36,5","29,4","22,4","0,0","2,8",40
2015-07-04,"36,7","30,0","23,2","0,0","1,4",37
2015-07-05,"37,1","30,3","23,5","0,0","1,9",36
2015-07-06,"39,6","31,8","24,0","0,0","2,2",28
2015-07-07,"38,3","30,6","22,8","0,0","3,1",33
2015-07-08,"38,2","31,2","24,1","0,0","3,1",25
2015-07-09,"38,9","30,4","22,0","0,0","2,5",31
2015-07-10,"37,4","30,0","22,7","0,0","2,8",30
2015-07-11,"37,4","29,9","22,4","0,0","1,9",28
2015-07-12,"37,5","30,4","23,2","0,0","1,7",30
2015-07-13,"38,6","31,4","24,2","0,0","1,7",32
2015-07-14,"39,5","32,0","24,4","0,0","1,7",28
2015-07-15,"39,4","32,0","24,5","0,0","1,4",27
2015-07-16,"38,3","31,2","24,2","0,0","2,2",34
2015-07-17,"36,3","31,0","25,6",Ip,"1,4",35
2015-07-18,"33,6","28,5","23,4","0,0","2,8",43
2015-07-19,"34,4","28,4","22,4","0,0","1,1",43
2015-07-20,"36,8","30,1","23,4","0,0","1,7",42
2015-07-21,"37,3","30,0","22,8","0,0","2,5",43
2015-07-22,"34,2","29,1","24,0","3,6","1,1",49
2015-07-23,"36,9","29,2","21,6","0,0","2,5",50
2015-07-24,"34,3","28,0","21,8","0,0","2,2",40
2015-07-25,"33,8","26,9","20,0","0,0","1,4",47
2015-07-26,"36,3","29,2","22,0","0,0","2,5",42
2015-07-27,"37,6","30,6","23,7","0,0","1,7",38
2015-07-28,"38,0","30,5","23,0","0,0","1,9",34
2015-07-29,"36,8","29,6","22,5","0,0","2,2",33
2015-07-30,"34,3","28,2","22,0","0,0","2,2",47
2015-07-31,"30,5","25,0","19,6","0,0","3,1",55
2015-08-01,"31,7","24,6","17,6","0,0","1,1",52
2015-08-02,"34,6","27,9","21,2","0,0","1,9",52
2015-08-03,"35,5","29,2","23,0","0,0","2,8",56
2015-08-04,"34,5","28,0","21,5","0,0","1,7",47
2015-08-05,"35,5","28,6","21,6","0,0","1,7",35
2015-08-06,"37,2","28,5","19,8","0,0","2,8",26
2015-08-07,"35,4","27,9","20,4","0,0","2,2",35
2015-08-08,"33,6","27,1","20,6","0,0","2,8",38
2015-08-09,"33,3","24,8","16,2","0,0","1,9",47
2015-08-10,"36,8","27,7","18,6","0,0","1,7",38
2015-08-11,"34,0","27,6","21,3","0,0","2,5",44
2015-08-12,"32,6","26,2","19,8","0,0","1,4",42
2015-08-13,"27,5","22,1","16,7","0,0","3,6",46
2015-08-14,"27,0","21,0","15,0","0,0","1,9",55
2015-08-15,"28,2","22,9","17,6","0,0","1,4",42
2015-08-16,"29,5","23,5","17,5","0,0","1,7",45
2015-08-17,"31,7","25,6","19,6","0,0","1,7",52
2015-08-18,"32,3","25,8","19,2","0,0","1,7",51
2015-08-19,"32,4","25,3","18,2","0,0","1,4",46
2015-08-20,"34,2","27,0","19,8","0,0","1,4",39
2015-08-21,"33,1","27,6","22,0","0,9","1,1",54
2015-08-22,"31,7","24,6","17,4","0,0","2,5",53
2015-08-23,"26,0","22,0","18,0","0,1","3,9",53
2015-08-24,"24,8","19,2","13,6","0,0","2,2",45
2015-08-25,"29,0","21,7","14,4","0,0","0,8",43
2015-08-26,"32,1","25,4","18,6","0,0","1,7",43
2015-08-27,"32,3","25,2","18,2","0,0","2,5",47
2015-08-28,"34,2","25,6","17,0","0,0","1,4",45
2015-08-29,"34,8","28,4","22,0","0,0","2,8",38
2015-08-30,"34,8","28,2","21,5","2,3","2,5",59
2015-08-31,"28,0","23,9","19,8","0,0","1,9",62
2015-09-01,"30,0","24,0","18,0","0,0","1,7",52
2015-09-02,"29,5","24,4","19,2","0,0","2,2",51
2015-09-03,"26,5","21,6","16,7","0,0","1,1",44
2015-09-04,"26,0","21,0","16,1","0,5","2,2",57
2015-09-05,"26,8","20,2","13,5","0,0","1,4",50
2015-09-06,"27,1","21,8","16,6","0,3","0,8",50
2015-09-07,"27,3","21,8","16,2","0,7","2,2",50
2015-09-08,"27,7","20,8","14,0","0,0","1,4",51
2015-09-09,"28,2","21,8","15,5","0,0","2,5",40
2015-09-10,"28,0","22,7","17,4","0,0","1,9",49
2015-09-11,"30,1","23,4","16,8","0,0","2,2",46
2015-09-12,"27,4","23,2","19,0","0,0","1,9",47
2015-09-13,"24,4","20,6","16,8",Ip,"3,6",45
2015-09-14,"24,2","19,0","13,8","0,0","2,2",56
2015-09-15,"19,8","17,1","14,4","0,9","2,2",60
2015-09-16,"21,7","18,0","14,4","7,0","3,6",79
2015-09-17,"20,0","15,0","10,0","0,0","1,9",54
2015-09-18,"23,8","17,5","11,2","0,0","1,7",46
2015-09-19,"25,4","19,3","13,2","0,0","0,8",46
2015-09-20,"28,1","21,3","14,5","0,0","1,1",43
2015-09-21,"29,0","21,5","14,0","0,0","1,7",39
2015-09-22,"28,4","21,0","13,7","0,0","1,7",43
2015-09-23,"24,1","19,6","15,0","0,0","3,1",46
2015-09-24,"27,1","20,6","14,1","0,0","1,4",45
2015-09-25,"28,9","22,4","16,0","0,0","1,4",34
2015-09-26,"28,0","22,3","16,6","0,0","0,8",38
2015-09-27,"26,5","21,2","16,0","0,0","0,3",46
2015-09-28,"24,2","19,0","13,8","0,0","1,4",53
2015-09-29,"23,6","18,2","12,7","0,0","1,7",56
2015-09-30,"23,4","19,4","15,3","0,0","1,1",61
2015-10-01,"25,0","18,7","12,4","0,0","1,9",50
