Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-01-01,"13,1","3,8","-5,5","0,0","0,8",60
2015-01-02,"13,8","4,4","-5,0","0,0","0,6",62
2015-01-03,"14,2","5,4","-3,4","0,0","1,1",63
2015-01-04,"17,5","7,6","-2,3","0,0","1,4",60
2015-01-05,"14,1","6,2","-1,7","0,0","1,1",65
2015-01-06,"12,0","4,4","-3,1","0,0","1,4",76
2015-01-07,"12,4","4,2","-3,9","0,0","0,6",70
2015-01-08,"14,4","5,4","-3,6","0,0","1,9",66
2015-01-09,"15,6","6,8","-2,1","0,0","1,1",67
2015-01-10,"14,5","5,6","-3,3","0,0","1,1",66
2015-01-11,"16,4","7,5","-1,4","0,0","1,1",68
2015-01-12,"13,7","6,2","-1,4","0,0","1,7",71
2015-01-13,"13,1","5,8","-1,4","0,0","2,5",70
2015-01-14,"7,2","3,0","-1,3","0,0","1,4",90
2015-01-15,"12,5","9,0","5,4","6,6","3,3",83
2015-01-16,"9,5","6,0","2,5","0,0","5,6",60
2015-01-17,"9,6","3,4","-2,9","0,0","2,2",62
2015-01-18,"4,2","1,7","-0,8","8,1","1,1",86
2015-01-19,"7,1","3,4","-0,3","0,0","8,1",59
2015-01-20,"7,7","3,2","-1,4","0,0","1,1",72
2015-01-21,"6,9","2,2","-2,4","0,3","3,3",81
2015-01-22,"8,3","3,0","-2,2","0,0","4,4",70
2015-01-23,"9,8","4,2","-1,4","0,0","5,0",57
2015-01-24,"12,1","4,0","-4,1","0,0","2,8",59
2015-01-25,"14,0","8,0","1,9","0,0","3,9",41
2015-01-26,"13,9","5,8","-2,2","0,0","2,2",52
2015-01-27,"13,9","6,6","-0,7","0,0","2,5",59
2015-01-28,"14,0","6,3","-1,4","0,0","1,9",65
2015-01-29,"13,9","6,5","-0,9","0,0","5,3",74
2015-01-30,"17,8","14,1","10,4","3,4","7,5",77
2015-01-31,"11,9","7,8","3,7","0,0","9,4",56
2015-02-01,"9,3","5,3","1,3","0,0","6,4",51
2015-02-02,"6,5","5,1","3,7","2,6","5,8",76
2015-02-03,"10,1","7,0","3,8","3,4","6,4",71
2015-02-04,"5,4","2,6","-0,2","0,0","5,8",54
2015-02-05,"6,3","3,4","0,4","0,0","7,5",45
2015-02-06,"6,4","2,6","-1,2","0,0","5,0",52
2015-02-07,"4,1","1,7","-0,7","0,0","1,9",65
2015-02-08,"10,5","3,0","-4,5","0,0","1,4",61
2015-02-09,"11,6","5,0","-1,5","0,0","3,9",58
2015-02-10,"9,5","5,0","0,4","0,0","1,4",71
2015-02-11,"8,9","5,6","2,2","0,1","2,5",80
2015-02-12,"12,8","7,6","2,5","0,0","0,6",69
2015-02-13,"13,9","7,2","0,5","0,0","5,0",72
2015-02-14,"13,3","10,5","7,7","5,2","5,3",69
2015-02-15,"16,3","12,1","7,9","0,0","3,3",67
2015-02-16,"15,0","10,2","5,4","6,4","2,5",64
2015-02-17,"12,6","8,7","4,8","0,0","5,3",53
2015-02-18,"12,0","7,6","3,2","0,0","2,8",55
2015-02-19,"13,6","6,3","-1,0","0,0","1,1",61
2015-02-20,"12,5","5,4","-1,6","1,7","3,6",65
2015-02-21,"13,7","8,6","3,6","0,0","6,1",56
2015-02-22,"15,3","8,0","0,6","0,0","2,2",54
2015-02-23,"14,6","10,0","5,3","0,0","5,3",71
2015-02-24,"12,1","7,5","2,9","0,0","7,5",52
2015-02-25,"15,8","8,1","0,4","0,0","3,9",60
2015-02-26,"14,5","9,6","4,8","0,0","1,4",67
2015-02-27,"15,1","9,2","3,4","0,0","3,3",53
2015-02-28,"17,0","8,6","0,3","0,0","1,1",61
2015-03-01,"19,9","13,0","6,1","0,0","2,8",61
2015-03-02,"17,8","13,2","8,5","0,0","3,3",78
2015-03-03,"18,3","12,6","6,9","0,3","0,8",80
2015-03-04,"15,2","8,9","2,6","0,0","5,3",56
2015-03-05,"15,4","7,4","-0,5","0,0","3,1",38
2015-03-06,"18,8","9,0","-0,9","0,0","3,1",38
