OID,Nombre,SymbolID,Información,x,y
3,ARANJUEZ,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Autobuses, Avenida de las Infantas, 16 - 28300",-3.60467419999998,40.0357604000001
4,ATOCHA  (CERRADA POR OBRAS),0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro de Atocha Renfe, Estación de Atocha-Renfe – Paseo de la Infanta Isabel, 15 – 28014 (planta -1)",-3.68944208099992,40.4065228870001
5,AVENIDA DE AMÉRICA,0,"Oficina de Gestión Tarjeta Transporte Público:Intercambiador de Avenida de América, (planta -3), frente a Avenida de América, 25 - 28002",-3.67642889999996,40.43821325
8,CRTM,0,"Oficina de Gestión Tarjeta Transporte Público:Pza. Descubridor Diego de Ordás, 3 - 28003",-3.69996939999993,40.4408399000001
9,COSLADA,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro de Coslada Central, Acceso Dr. Fleming, s/nº, en el parque Doctor Fleming - 28821",-3.56116757499996,40.4237918700001
10,ATOCHA,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro de Atocha Renfe, Estación de Atocha-Renfe – Paseo de la Infanta Isabel, 15 – 28014 (planta -1)",-3.68944208099992,40.4065228870001
12,FUENLABRADA,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro de Fuenlabrada Central, acceso Paseo de la Estación, s/nº - 28944",-3.79884843399998,40.28265264
13,GETAFE,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro-Renfe Getafe Central, calle Ferrocarril con Ramón y Cajal – 28904",-3.73401999999993,40.309890001
14,LEGANÉS,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro Leganés Central, acceso Avda. del Cobre - 28914",-3.77106466399994,40.3286329420001
15,MONCLOA,0,"Oficina de Gestión Tarjeta Transporte Público:Intercambiador de Moncloa (planta -2), Calle de la Princesa, 98 - 28008",-3.71952004699995,40.4345947900001
16,MÓSTOLES,0,Oficina de Gestión Tarjeta Transporte Público:Estación de Metro-Renfe Móstoles Central. Paseo de la Estación s/nº - 28931,-3.86355095599993,40.328604823
17,NUEVOS MINISTERIOS,0,"Oficina de Gestión Tarjeta Transporte Público:Intercambiador de Nuevos Ministerios (Vestíbulo principal), Paseo de la Castellana, 65, esquina a Raimundo Fernández Villaverde - 28046",-3.69187407799996,40.446562172
18,GETAFE,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro-Renfe Getafe Central, calle Ferrocarril con Ramón y Cajal – 28904",-3.73401999999993,40.309890001
19,PLAZA CASTILLA,0,"Oficina de Gestión Tarjeta Transporte Público:Intercambiador de Plaza Castilla, Acceso Paseo Castellana, planta calle - 28029 / Intercambiador Plaza de Castilla. Avenida de Asturias, s/n. 28029. Madrid. Terminal subterránea, nivel -2.",-3.68904129999993,40.46719425
20,PRÍNCIPE PÍO,0,"Oficina de Gestión Tarjeta Transporte Público:Intercambiador Príncipe Pío – (Planta 0 vestíbulo de metro) – Paseo de la Florida, 2 - 28008",-3.72017414499993,40.4216315790001
21,SOL,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Metro de Sol, planta -1, Puerta del Sol, 7 - 28013",-3.70320999999996,40.41688
22,TORREJÓN DE ARDOZ,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Cercanías, Plaza de España, Paseo de la Estación con Plaza de España - 28830",-3.47981007199996,40.4547664670001
29,ALCOBENDAS,0,"Oficina de Gestión Tarjeta Transporte Público:Plaza del Pueblo, nº 1 CP 28100",-3.63409765599994,40.540940612
33,AEROPUERTO ADOLFO SUÁREZ T4,0,Oficina de Gestión Tarjeta Transporte Público:Terminal 4 – Vestíbulo de Metro/Renfe (91 379 11 30),-3.59338287899993,40.4913300520001
34,AEROPUERTO ADOLFO SUÁREZ T2,0,Oficina de Gestión Tarjeta Transporte Público:Terminal 2- Vestíbulo de Metro,-3.56924799299998,40.4680061060001
35,MÉNDEZ ÁLVARO,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Autobuses SUR – Calle Méndez Álvaro, 83. (Espacio de Locales). CP:28045",-3.67876359999997,40.3947674500001
36,COLLADO VILLALBA,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Cercanías de Collado Villalba, Paseo de la estación, s/n CP: 28400",-4.00804759999994,40.6264905
40,ALCALÁ DE HENARES,0,"Oficina de Gestión Tarjeta Transporte Público:Estación de Cercanías, Calle Pedro Laínez, 2 CP: 28807",-3.36625079999993,40.488974399
