cod_est;nom_est;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;dem_mens_promedio_24_miles;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
101;Plaza de Castilla;44,95;7055;15090;2,1;24556,77;55361,91;0,1599;0,1124;0,6466;0,2072;200,12;0,1354;0,1229;0,0999;0,0426;0,0131;0,0037;0,1271;0,1099;0,0305;0,0274;0,0121;0,0352;0,0086;0,0085;0,0695;0,0261;0,0052;0,0017;0,0327;0,0524;0,0010;0,0006;;labvol;0,4266;1320,35;3;0;28;1;0;1;0;0;0
102;Valdeacederas;44,64;10873;22733;2,1;18562,64;40870,37;0,2122;0,0929;0,6880;0,2019;299,72;0,1478;0,1385;0,1008;0,0397;0,0133;0,0037;0,1507;0,1052;0,0352;0,0229;0,0045;0,0360;0,0099;0,0049;0,0650;0,0219;0,0033;0,0010;0,0316;0,0459;0,0003;0,0005;;finest;0,4486;245,13;1;0;0;0;0;0;0;0;0
103;Tetuán;44,28;12617;26874;2,1;18618,16;42183,57;0,2353;0,0995;0,6869;0,1911;354,53;0,1469;0,1360;0,0960;0,0315;0,0140;0,0029;0,1548;0,1043;0,0389;0,0238;0,0054;0,0366;0,0100;0,0047;0,0666;0,0217;0,0035;0,0009;0,0297;0,0485;0,0002;0,0005;;finest;0,4492;317,74;1;0;0;0;0;0;0;0;0
104;Estrecho;43,81;14380;32697;2,3;16596,85;39787,29;0,2504;0,1072;0,6820;0,1841;433,79;0,1265;0,1242;0,1032;0,0291;0,0141;0,0033;0,1436;0,1042;0,0395;0,0273;0,0054;0,0424;0,0117;0,0050;0,0697;0,0243;0,0045;0,0019;0,0360;0,0562;0,0006;0,0006;;finest;0,4460;437,31;1;0;0;0;0;0;0;0;0
105;Alvarado;43,30;15483;34120;2,2;16579,14;38778,14;0,2630;0,0987;0,6881;0,1730;452,15;0,1408;0,1370;0,0994;0,0290;0,0141;0,0028;0,1442;0,0907;0,0373;0,0246;0,0047;0,0369;0,0106;0,0043;0,0647;0,0225;0,0035;0,0019;0,0357;0,0543;0,0004;0,0004;;finest;0,4537;189,89;1;0;0;0;0;0;0;0;0
106;Cuatro Caminos;44,21;12588;27427;2,2;19462,52;44736,60;0,1940;0,0970;0,6528;0,1998;360,87;0,1347;0,1268;0,1084;0,0323;0,0127;0,0028;0,1337;0,1053;0,0363;0,0290;0,0072;0,0352;0,0096;0,0032;0,0659;0,0233;0,0033;0,0010;0,0329;0,0454;0,0003;0,0003;;finest;0,4407;613,13;3;0;0;0;0;0;0;0;0
107;Ríos Rosas;46,09;11092;22920;2,1;25709,50;55991,24;0,1449;0,0967;0,6512;0,2268;299,07;0,1470;0,1267;0,1160;0,0327;0,0126;0,0037;0,1321;0,1194;0,0359;0,0334;0,0084;0,0367;0,0093;0,0023;0,0690;0,0263;0,0041;0,0003;0,0278;0,0300;0,0005;0,0006;;labest;0,4213;192,60;1;0;0;0;0;1;0;0;0
108;Iglesia;45,58;13962;28643;2,1;26177,25;57577,29;0,1761;0,0996;0,6493;0,2268;374,73;0,1574;0,1347;0,1058;0,0359;0,0144;0,0046;0,1341;0,1123;0,0350;0,0285;0,0093;0,0360;0,0080;0,0044;0,0631;0,0258;0,0036;0,0007;0,0289;0,0311;0,0013;0,0009;;labest;0,4267;285,03;1;0;0;0;0;0;0;0;0
109;Bilbao;44,64;14455;27396;1,9;24654,50;49638,46;0,2217;0,0797;0,6906;0,1867;362,66;0,1738;0,1774;0,0846;0,0327;0,0132;0,0031;0,1565;0,0889;0,0324;0,0214;0,0055;0,0286;0,0064;0,0023;0,0566;0,0202;0,0028;0,0004;0,0224;0,0265;0,0010;0,0004;;finest;0,4609;376,37;2;0;0;0;0;0;0;0;0
110;Tribunal;43,71;15667;28634;1,8;22614,65;44191,69;0,2701;0,0677;0,7368;0,1535;379,68;0,1867;0,2072;0,0691;0,0321;0,0113;0,0021;0,1758;0,0697;0,0275;0,0152;0,0035;0,0271;0,0056;0,0019;0,0518;0,0166;0,0025;0,0005;0,0220;0,0285;0,0008;0,0005;;finvol;0,4907;470,44;2;0;0;0;0;0;0;0;0
