fecha_cal;NU_DIA_MES;NU_MES;NU_DIA_SEM;LABORABLE;LECTIVO;Navidad;Año_nuevo;Reyes;Primero_Mayo;Fiesta_CAM;San_Isidro;Asuncion;Hispanidad;Todos_santos;Almudena;Constitucion;Inmaculada_Concepcion;Jueves_Santo;Viernes_Santo;Santiago_Apostol;San_Jose;BLACK_FRIDAY;NU_SEMANA;Precio_Gasolina;Precio_diesel;Temperatura Máxima (°C);Temperatura Media (°C);Temperatura Mínima (°C);Precipitaciones (mm);Velocidad Media Viento (km/h);Humedad Relativa Media (%);ev_bernabeu;ev_ifema;ev_ventas;ev_metropolitano;ev_movistararena;ev_vallecas;ev_vistalegre
1/1/24;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,587;1,528;9,4;6,6;3,8;0;1;0,85;0;0;0;0;0;0;0
2/1/24;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,587;1,525;8,2;5,5;2,8;2;0;0,92;0;0;0;0;0;0;0
3/1/24;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,585;1,522;12,1;10,1;8,1;2,7;2;0,99;0,85;0;0;0;0;0;0
4/1/24;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,585;1,517;10,6;9,4;8,2;9,7;1;0,99;0;0;0;0;0;0;0
5/1/24;5;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,587;1,523;8,6;6,6;4,6;0,1;4;0,71;0;0;0;0;0;0;0
6/1/24;6;1;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,589;1,523;9,6;6,6;3,6;0;3;0,61;0;0;0;0;0;0;0
7/1/24;7;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,589;1,524;9,3;5,6;1,8;0;2;0,6;0;0;0;0;0;0;0
8/1/24;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1,59;1,524;6,2;2,7;-0,8;0;1;0,69;0;0;0;0;0;0;0
9/1/24;9;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1,585;1,522;7,2;5,6;4,1;0;1;0,79;0;0;0;0;0;0;0
10/1/24;10;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1,582;1,514;8;6,4;4,7;0,2;2;0,9;0;0;0;0;0;0;0,48
11/1/24;11;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1,584;1,513;7,6;5;2,3;0;2;0,71;0;0;0;0;0;0;0
12/1/24;12;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1,587;1,516;6,9;3,2;-0,4;0;2;0,64;0;0;0;0;0;0;0
