cod_est,fecha,entradas
121,2024-01-01,2832
203,2024-01-01,6872
201,2024-01-01,3295
524,2024-01-01,2998
751,2024-01-01,492
618,2024-01-01,13100
805,2024-01-01,2202
1005,2024-01-01,1944
1006,2024-01-01,3965
121,2024-01-02,6221
203,2024-01-02,15321
201,2024-01-02,6566
524,2024-01-02,6187
751,2024-01-02,1051
618,2024-01-02,42240
805,2024-01-02,3504
1005,2024-01-02,9634
1006,2024-01-02,9823
121,2024-01-03,6389
203,2024-01-03,16690
201,2024-01-03,7078
524,2024-01-03,6464
751,2024-01-03,1255
618,2024-01-03,57732
805,2024-01-03,3775
1005,2024-01-03,14679
1006,2024-01-03,25698
121,2024-01-04,6511
203,2024-01-04,17725
201,2024-01-04,7015
524,2024-01-04,6642
751,2024-01-04,1045
618,2024-01-04,46345
805,2024-01-04,5252
1005,2024-01-04,10504
1006,2024-01-04,11250
121,2024-01-05,7414
203,2024-01-05,18904
201,2024-01-05,8089
524,2024-01-05,6929
751,2024-01-05,1262
618,2024-01-05,41243
805,2024-01-05,7278
1005,2024-01-05,9491
1006,2024-01-05,11626
121,2024-01-06,3898
203,2024-01-06,11808
201,2024-01-06,4834
524,2024-01-06,4873
751,2024-01-06,669
618,2024-01-06,18015
805,2024-01-06,3190
1005,2024-01-06,3199
1006,2024-01-06,5444
121,2024-01-07,4277
203,2024-01-07,10382
201,2024-01-07,4977
524,2024-01-07,4529
751,2024-01-07,744
618,2024-01-07,19789
805,2024-01-07,3326
1005,2024-01-07,2937
1006,2024-01-07,5989
121,2024-01-08,7567
203,2024-01-08,17822
201,2024-01-08,7635
524,2024-01-08,7349
751,2024-01-08,1409
618,2024-01-08,48811
805,2024-01-08,4246
1005,2024-01-08,10963
1006,2024-01-08,11861
121,2024-01-09,7668
203,2024-01-09,18883
201,2024-01-09,8093
524,2024-01-09,7625
751,2024-01-09,1296
618,2024-01-09,52060
805,2024-01-09,4319
1005,2024-01-09,11873
1006,2024-01-09,12107
121,2024-01-10,7449
203,2024-01-10,19459
201,2024-01-10,8253
524,2024-01-10,13264
751,2024-01-10,1464
618,2024-01-10,52729
805,2024-01-10,4401
1005,2024-01-10,11814
1006,2024-01-10,12487
121,2024-01-11,7673
203,2024-01-11,20886
201,2024-01-11,8266
524,2024-01-11,7827
751,2024-01-11,1231
618,2024-01-11,54611
805,2024-01-11,6189
1005,2024-01-11,12378
1006,2024-01-11,13257
121,2024-01-12,8692
203,2024-01-12,22164
201,2024-01-12,9484
524,2024-01-12,8124
751,2024-01-12,1479
618,2024-01-12,48355
805,2024-01-12,8533
1005,2024-01-12,11127
1006,2024-01-12,13630
121,2024-01-13,6015
203,2024-01-13,18218
201,2024-01-13,7457
524,2024-01-13,7518
751,2024-01-13,1033
618,2024-01-13,27794
805,2024-01-13,4921
1005,2024-01-13,4936
1006,2024-01-13,8399
121,2024-01-14,4134
203,2024-01-14,10033
201,2024-01-14,4811
524,2024-01-14,4377
751,2024-01-14,719
618,2024-01-14,19126
805,2024-01-14,3214
1005,2024-01-14,2839
1006,2024-01-14,5789
121,2024-01-15,7790
203,2024-01-15,18346
201,2024-01-15,7860
524,2024-01-15,7566
751,2024-01-15,1450
618,2024-01-15,50248
805,2024-01-15,4371
1005,2024-01-15,11285
1006,2024-01-15,12210
121,2024-01-16,7896
203,2024-01-16,19445
201,2024-01-16,8333
524,2024-01-16,7852
751,2024-01-16,1334
618,2024-01-16,53610
805,2024-01-16,4447
1005,2024-01-16,12227
1006,2024-01-16,12467
121,2024-01-17,7630
203,2024-01-17,19931
201,2024-01-17,8453
524,2024-01-17,7719
751,2024-01-17,1499
618,2024-01-17,54010
805,2024-01-17,4508
1005,2024-01-17,12101
1006,2024-01-17,12791
121,2024-01-18,7991
203,2024-01-18,21751
201,2024-01-18,8609
524,2024-01-18,8151
751,2024-01-18,21209
618,2024-01-18,56874
805,2024-01-18,6445
1005,2024-01-18,12890
1006,2024-01-18,13806
121,2024-01-19,8678
203,2024-01-19,22128
201,2024-01-19,9469
524,2024-01-19,8111
751,2024-01-19,1477
618,2024-01-19,48277
805,2024-01-19,8519
1005,2024-01-19,11109
1006,2024-01-19,13608
121,2024-01-20,9419
203,2024-01-20,19372
201,2024-01-20,7930
524,2024-01-20,7994
751,2024-01-20,1098
618,2024-01-20,29554
805,2024-01-20,5233
1005,2024-01-20,5249
1006,2024-01-20,8931
121,2024-01-21,4723
203,2024-01-21,11463
201,2024-01-21,5496
524,2024-01-21,5001
751,2024-01-21,821
618,2024-01-21,34355
805,2024-01-21,3672
1005,2024-01-21,7789
1006,2024-01-21,21600
121,2024-01-22,8054
203,2024-01-22,18968
201,2024-01-22,8126
524,2024-01-22,7822
751,2024-01-22,1499
618,2024-01-22,51950
805,2024-01-22,4519
1005,2024-01-22,11668
1006,2024-01-22,12624
121,2024-01-23,8194
203,2024-01-23,20179
201,2024-01-23,8648
524,2024-01-23,8149
751,2024-01-23,1385
618,2024-01-23,55635
805,2024-01-23,4615
1005,2024-01-23,12689
1006,2024-01-23,12938
121,2024-01-24,7993
203,2024-01-24,20879
201,2024-01-24,8855
524,2024-01-24,8086
751,2024-01-24,1571
618,2024-01-24,56579
805,2024-01-24,18394
1005,2024-01-24,12677
1006,2024-01-24,13399
121,2024-01-25,8366
203,2024-01-25,22773
201,2024-01-25,9013
524,2024-01-25,8534
751,2024-01-25,19010
618,2024-01-25,59545
805,2024-01-25,23974
1005,2024-01-25,13496
1006,2024-01-25,14455
121,2024-01-26,9024
203,2024-01-26,23009
201,2024-01-26,9846
524,2024-01-26,8433
751,2024-01-26,1535
618,2024-01-26,50199
805,2024-01-26,29366
1005,2024-01-26,11552
1006,2024-01-26,14150
121,2024-01-27,6625
