Estación;cod_est;05/02/2024;06/02/2024;07/02/2024;08/02/2024;09/02/2024;10/02/2024;11/02/2024;10/06/2024;11/06/2024;12/06/2024;13/06/2024;14/06/2024;15/06/2024;16/06/2024;29/07/2024;30/07/2024;31/07/2024;01/08/2024;02/08/2024;03/08/2024;04/08/2024;11/11/2024;12/11/2024;13/11/2024;14/11/2024;15/11/2024;16/11/2024;17/11/2024
Abrantes;1102;3157;3168;3158;3129;3209;2284;1830;3184;3196;3190;3330;3299;2199;1788;2305;2308;2379;2432;2370;1909;1691;3396;3354;3357;3312;3445;2359;1946
Acacias;519;3730;3972;4125;4107;4573;3264;2745;3688;3815;4246;4124;4238;2910;2748;2477;2692;2671;2441;2365;1726;1852;4127;4256;4446;4450;4609;3578;3040
Aeropuerto T-4;808;6242;5681;5888;6127;6898;6104;5958;6974;6824;6736;7372;7635;6585;6592;6974;6824;6736;7372;7635;6585;6592;6976;6528;6748;8934;8008;6947;6886
Aeropuerto T1-T2-T3;806;7351;6059;6205;6739;8562;7183;7830;7702;7820;7734;7817;8360;7153;6738;7702;7820;7734;7817;8360;7153;6738;8275;6428;6539;7734;9029;7325;8043
Alameda de Osuna;552;4632;5005;5147;4881;4825;3102;1935;4428;4849;5143;4941;4975;3021;2167;3441;3604;3451;3141;3185;1800;1375;4755;4989;4845;4975;5328;3316;2115
Alfonso XIII;413;9566;10347;10259;9994;9742;4960;2983;8586;9471;9326;9641;8973;4687;3048;6085;6676;6409;5570;5118;2694;1847;10311;10946;10822;11019;10689;5152;3053
Almendrales;351;8172;8599;8575;8443;8873;8776;7271;8007;8643;8571;8876;8704;6366;5252;6347;6627;6729;6090;6286;4703;3931;9140;9282;9341;9267;9792;7068;5456
Alonso Cano;712;6364;6629;7225;6898;6625;3759;2045;5952;6356;6698;6226;6251;3099;2006;3744;4183;4053;3730;3282;1706;1188;6349;7026;7084;7023;6692;3713;2155
Alonso Martínez;404;17632;19149;19903;19903;19287;13227;8004;16665;18840;18851;18790;17599;10832;7480;11694;12795;12579;11086;10295;5576;3998;18344;20227;20240;20798;20263;13542;10251
Alsacia;253;6342;6524;6677;6624;6963;5751;4017;5859;6558;6548;6726;7154;5602;4463;4655;4909;5004;4685;4669;3882;3003;6774;7101;6768;7127;7597;6160;4694
Alto de Extremadura;627;8144;8594;8761;8451;8545;5441;4039;7625;8037;7828;8062;8287;5397;4586;5613;5801;5652;5465;5357;3723;2795;8803;8685;9134;9271;9235;5863;4217
Alto del Arenal;123;6801;7005;7045;7132;7301;5857;4093;6612;7203;7127;7345;7444;5747;4577;5550;5694;5643;5634;5784;4701;3763;7576;7768;7576;7785;8149;6327;4805
Aluche;527;18644;19387;19461;19080;19657;14782;9733;17816;18854;18968;19120;19835;14085;10687;14651;15147;15025;14746;14353;11340;8379;20358;20293;20002;20417;20887;15965;11086
Alvarado;105;6600;6933;7048;7376;7295;6509;4452;6645;7094;7185;7303;7365;5807;4532;4169;4184;5596;5532;5701;4553;3290;7087;7173;7245;7321;7794;6490;4687
Antón Martín;114;7929;8628;8585;9614;10488;8831;6497;8178;8405;8699;9106;9609;7586;6558;6052;6425;6449;6115;6259;4711;3850;8155;8459;9205;8718;9852;8834;6359
Antonio Machado;718;4390;4630;4934;4755;4916;3159;2017;4176;4496;4705;4597;4697;2812;2206;2835;2991;2891;2722;2580;1621;1209;4638;4918;4812;4930;5105;3332;2492
Arganzuela-Planetario;608;4259;4592;4636;4710;4341;2308;1656;4305;4620;4656;4808;4557;2031;1354;2555;2779;2754;2484;2130;986;767;4659;5288;5169;5200;4882;2269;1532
Argüelles;310;29457;30939;31472;32131;31246;20141;13207;25788;27084;27225;27108;26122;16569;11983;17231;18562;18436;16915;15424;9986;7269;30643;32149;32936;32788;32841;20728;14435
Arroyofresno;722;1200;1192;1234;1208;1183;578;271;1156;1204;1281;1191;1241;621;368;763;787;774;670;646;284;181;1227;1265;1222;1257;1332;646;354
Artilleros;917;7926;8262;8384;8182;8309;5578;3729;7538;8246;8094;8067;8222;5278;3979;5514;5725;5644;5373;5129;3587;2720;8300;8630;8464;8533;8742;5600;4804
