Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"626","526","1119",37.538,2.200,19038.554,42636.215,276.132,0.217,0.089,0.677,0.926,0.058,9.060,0.503,0.111,0.117,0.118,0.035,0.013,0.001,0.148,0.130,0.043,0.030,0.003,0.039,0.009,0.001,0.075,0.029,0.003,0.001,0.026,0.037,0.000,0.000
"625","521","1151",41.175,2.375,25173.134,54512.784,220.678,0.135,0.136,0.722,0.849,0.146,5.364,0.537,0.117,0.137,0.115,0.043,0.016,0.001,0.143,0.141,0.036,0.026,0.002,0.040,0.011,0.000,0.059,0.045,0.001,0.001,0.025,0.027,0.002,0.001
"209","674","1296",42.882,2.040,23035.828,47989.932,118.736,0.075,0.174,0.749,0.653,0.345,8.370,0.559,0.161,0.199,0.082,0.044,0.007,0.002,0.175,0.090,0.027,0.015,0.001,0.032,0.005,0.000,0.065,0.013,0.000,0.000,0.030,0.039,0.000,0.001
"211","693","1269",41.953,1.895,20893.448,41126.623,123.608,0.076,0.170,0.729,0.655,0.324,15.042,0.549,0.189,0.212,0.073,0.037,0.003,0.000,0.188,0.070,0.029,0.013,0.000,0.028,0.002,0.000,0.053,0.010,0.000,0.000,0.025,0.029,0.000,0.000
"210","700","1321",41.887,1.967,21323.571,43763.229,122.227,0.077,0.170,0.730,0.653,0.324,10.578,0.545,0.172,0.207,0.074,0.040,0.005,0.001,0.185,0.074,0.025,0.013,0.001,0.028,0.003,0.000,0.055,0.014,0.000,0.000,0.029,0.034,0.000,0.000
"309","692","1331",41.654,2.018,23026.658,47115.426,160.562,0.099,0.158,0.728,0.729,0.256,11.040,0.541,0.171,0.183,0.087,0.041,0.006,0.002,0.179,0.091,0.028,0.018,0.002,0.031,0.006,0.000,0.054,0.018,0.000,0.000,0.027,0.031,0.000,0.000
"308","692","1331",41.654,2.018,23026.658,47115.426,160.562,0.099,0.158,0.728,0.729,0.256,11.040,0.541,0.171,0.183,0.087,0.041,0.006,0.002,0.179,0.091,0.028,0.018,0.002,0.031,0.006,0.000,0.054,0.018,0.000,0.000,0.027,0.031,0.000,0.000
"307","693","1309",41.980,1.972,20201.736,41459.011,116.236,0.074,0.170,0.730,0.642,0.335,12.276,0.542,0.177,0.218,0.067,0.039,0.004,0.001,0.189,0.067,0.022,0.009,0.001,0.025,0.002,0.000,0.058,0.013,0.000,0.000,0.030,0.035,0.000,0.000
"112","683","1276",42.020,1.973,20120.877,40982.808,116.358,0.073,0.171,0.731,0.641,0.337,9.486,0.546,0.184,0.219,0.061,0.037,0.006,0.002,0.186,0.067,0.025,0.010,0.000,0.025,0.003,0.000,0.059,0.013,0.000,0.000,0.029,0.037,0.001,0.000
"113","666","1263",41.418,1.951,17695.998,35849.857,114.687,0.072,0.168,0.720,0.630,0.334,16.740,0.540,0.185,0.210,0.059,0.035,0.007,0.001,0.190,0.064,0.032,0.011,0.000,0.025,0.001,0.000,0.059,0.008,0.000,0.000,0.025,0.035,0.000,0.000
"517","707","1360",41.979,1.996,18893.984,38162.806,116.235,0.072,0.171,0.731,0.641,0.336,15.066,0.546,0.177,0.202,0.067,0.036,0.013,0.000,0.190,0.071,0.031,0.014,0.000,0.029,0.001,0.000,0.059,0.011,0.000,0.000,0.027,0.032,0.000,0.000
"518","715","1488",37.739,2.087,20769.051,45627.962,163.095,0.159,0.116,0.682,0.749,0.209,13.290,0.505,0.139,0.140,0.087,0.034,0.011,0.001,0.159,0.102,0.041,0.026,0.002,0.046,0.006,0.000,0.060,0.033,0.000,0.000,0.024,0.021,0.000,0.000
"519","671","1486",35.966,2.212,21879.272,50346.948,194.425,0.210,0.088,0.660,0.827,0.139,12.252,0.491,0.119,0.114,0.093,0.029,0.014,0.000,0.134,0.127,0.044,0.033,0.003,0.054,0.008,0.000,0.070,0.047,0.000,0.000,0.033,0.026,0.000,0.000
"114","657","1215",42.364,1.953,19631.732,39088.984,117.305,0.076,0.175,0.736,0.646,0.340,16.740,0.553,0.194,0.214,0.062,0.037,0.006,0.000,0.189,0.071,0.032,0.012,0.000,0.025,0.001,0.000,0.055,0.012,0.001,0.000,0.024,0.033,0.000,0.000
"305","675","1283",40.851,1.981,16902.810,34349.950,130.861,0.102,0.156,0.717,0.673,0.302,18.732,0.533,0.178,0.202,0.075,0.035,0.006,0.000,0.178,0.073,0.035,0.012,0.000,0.030,0.001,0.000,0.057,0.008,0.000,0.000,0.029,0.035,0.000,0.000
"304","637","1284",36.805,2.012,18583.452,39401.310,174.264,0.179,0.105,0.669,0.772,0.183,15.282,0.494,0.150,0.155,0.093,0.029,0.010,0.000,0.161,0.100,0.040,0.022,0.001,0.037,0.006,0.000,0.062,0.021,0.001,0.000,0.031,0.028,0.000,0.000
"115","602","1257",38.527,2.105,23596.078,57461.388,157.411,0.162,0.139,0.655,0.788,0.167,7.956,0.487,0.132,0.140,0.091,0.041,0.013,0.002,0.141,0.113,0.038,0.025,0.009,0.037,0.006,0.005,0.067,0.025,0.004,0.000,0.027,0.033,0.000,0.000
"303","717","1522",35.660,2.213,19967.228,44080.174,225.316,0.261,0.069,0.667,0.914,0.088,13.506,0.494,0.134,0.141,0.100,0.031,0.017,0.001,0.166,0.112,0.049,0.035,0.006,0.038,0.009,0.001,0.063,0.029,0.001,0.000,0.027,0.033,0.000,0.000
"116","642","1451",38.140,2.318,22979.385,56970.108,189.660,0.217,0.120,0.646,0.898,0.089,7.071,0.481,0.118,0.122,0.091,0.035,0.015,0.004,0.147,0.116,0.049,0.037,0.009,0.041,0.009,0.005,0.073,0.032,0.003,0.001,0.030,0.037,0.000,0.000
