estacion,fecha,numero
Valdeacederas,05/02/2024,9.179
Valdeacederas,06/02/2024,9.406
Valdeacederas,07/02/2024,9.835
Valdeacederas,08/02/2024,9.942
Valdeacederas,09/02/2024,10.030
Valdeacederas,10/02/2024,7.083
Valdeacederas,11/02/2024,5.296
Tetuán,05/02/2024,11.714
Tetuán,06/02/2024,12.055
Tetuán,07/02/2024,12.305
Tetuán,08/02/2024,12.512
Tetuán,09/02/2024,12.516
Tetuán,10/02/2024,9.804
Tetuán,11/02/2024,7.252
Estrecho,05/02/2024,16.246
Estrecho,06/02/2024,16.742
Estrecho,07/02/2024,17.296
Estrecho,08/02/2024,17.464
Estrecho,09/02/2024,18.096
Estrecho,10/02/2024,13.361
Estrecho,11/02/2024,9.973
Alvarado,05/02/2024,6.600
Alvarado,06/02/2024,6.933
Alvarado,07/02/2024,7.048
Alvarado,08/02/2024,7.376
Alvarado,09/02/2024,7.295
Alvarado,10/02/2024,6.509
Alvarado,11/02/2024,4.452
Ríos Rosas,05/02/2024,8.050
Ríos Rosas,06/02/2024,8.884
Ríos Rosas,07/02/2024,8.968
Ríos Rosas,08/02/2024,9.029
Ríos Rosas,09/02/2024,8.480
Ríos Rosas,10/02/2024,4.943
Ríos Rosas,11/02/2024,3.263
Iglesia,05/02/2024,11.416
Iglesia,06/02/2024,12.138
Iglesia,07/02/2024,12.220
Iglesia,08/02/2024,12.739
Iglesia,09/02/2024,12.356
Iglesia,10/02/2024,7.824
Iglesia,11/02/2024,5.471
Tirso de Molina,05/02/2024,10.724
Tirso de Molina,06/02/2024,11.134
Tirso de Molina,07/02/2024,11.616
Tirso de Molina,08/02/2024,12.202
Tirso de Molina,09/02/2024,13.544
Tirso de Molina,10/02/2024,12.503
Tirso de Molina,11/02/2024,11.340
Antón Martín,05/02/2024,7.929
Antón Martín,06/02/2024,8.628
Antón Martín,07/02/2024,8.585
Antón Martín,08/02/2024,9.614
Antón Martín,09/02/2024,10.488
Antón Martín,10/02/2024,8.831
Antón Martín,11/02/2024,6.497
Estación del Arte,05/02/2024,7.445
Estación del Arte,06/02/2024,6.792
Estación del Arte,07/02/2024,7.706
Estación del Arte,08/02/2024,7.830
Estación del Arte,09/02/2024,9.313
Estación del Arte,10/02/2024,8.784
Estación del Arte,11/02/2024,7.001
Atocha,05/02/2024,22.607
Atocha,06/02/2024,22.276
Atocha,07/02/2024,23.007
Atocha,08/02/2024,24.127
Atocha,09/02/2024,25.475
Atocha,10/02/2024,21.587
Atocha,11/02/2024,19.047
Menéndez Pelayo,05/02/2024,6.569
Menéndez Pelayo,06/02/2024,7.001
Menéndez Pelayo,07/02/2024,7.336
Menéndez Pelayo,08/02/2024,7.222
Menéndez Pelayo,09/02/2024,7.592
Menéndez Pelayo,10/02/2024,5.271
Menéndez Pelayo,11/02/2024,3.513
Pacífico,05/02/2024,17.466
Pacífico,06/02/2024,18.350
Pacífico,07/02/2024,18.727
Pacífico,08/02/2024,18.639
Pacífico,09/02/2024,18.745
Pacífico,10/02/2024,13.079
Pacífico,11/02/2024,9.523
Puente de Vallecas,05/02/2024,13.237
Puente de Vallecas,06/02/2024,13.313
Puente de Vallecas,07/02/2024,13.749
Puente de Vallecas,08/02/2024,13.499
Puente de Vallecas,09/02/2024,14.429
Puente de Vallecas,10/02/2024,11.652
Puente de Vallecas,11/02/2024,8.828
Nueva Numancia,05/02/2024,14.559
Nueva Numancia,06/02/2024,14.764
Nueva Numancia,07/02/2024,15.037
Nueva Numancia,08/02/2024,14.871
Nueva Numancia,09/02/2024,15.871
Nueva Numancia,10/02/2024,12.660
Nueva Numancia,11/02/2024,9.668
Portazgo,05/02/2024,10.740
Portazgo,06/02/2024,8.514
Portazgo,07/02/2024,8.338
Portazgo,08/02/2024,8.312
Portazgo,09/02/2024,9.163
Portazgo,10/02/2024,6.787
Portazgo,11/02/2024,4.802
Buenos Aires,05/02/2024,6.136
Buenos Aires,06/02/2024,5.926
Buenos Aires,07/02/2024,6.100
Buenos Aires,08/02/2024,5.870
Buenos Aires,09/02/2024,6.576
Buenos Aires,10/02/2024,4.813
Buenos Aires,11/02/2024,3.360
Alto del Arenal,05/02/2024,6.801
Alto del Arenal,06/02/2024,7.005
Alto del Arenal,07/02/2024,7.045
Alto del Arenal,08/02/2024,7.132
Alto del Arenal,09/02/2024,7.301
Alto del Arenal,10/02/2024,5.857
Alto del Arenal,11/02/2024,4.093
Miguel Hernández,05/02/2024,7.936
Miguel Hernández,06/02/2024,8.007
Miguel Hernández,07/02/2024,8.058
Miguel Hernández,08/02/2024,7.982
Miguel Hernández,09/02/2024,8.238
Miguel Hernández,10/02/2024,5.827
Miguel Hernández,11/02/2024,4.164
Sierra de Guadalupe,05/02/2024,10.187
Sierra de Guadalupe,06/02/2024,10.448
Sierra de Guadalupe,07/02/2024,10.461
Sierra de Guadalupe,08/02/2024,10.370
Sierra de Guadalupe,09/02/2024,10.075
Sierra de Guadalupe,10/02/2024,6.441
Sierra de Guadalupe,11/02/2024,4.842
Villa de Vallecas,05/02/2024,6.902
Villa de Vallecas,06/02/2024,7.287
Villa de Vallecas,07/02/2024,6.977
Villa de Vallecas,08/02/2024,7.038
Villa de Vallecas,09/02/2024,7.392
Villa de Vallecas,10/02/2024,5.676
Villa de Vallecas,11/02/2024,4.000
Congosto,05/02/2024,5.087
Congosto,06/02/2024,5.142
Congosto,07/02/2024,5.022
Congosto,08/02/2024,5.164
Congosto,09/02/2024,5.379
Congosto,10/02/2024,3.566
Congosto,11/02/2024,2.315
La Gavia,05/02/2024,4.151
La Gavia,06/02/2024,4.180
La Gavia,07/02/2024,4.296
La Gavia,08/02/2024,4.175
La Gavia,09/02/2024,4.275
La Gavia,10/02/2024,2.903
La Gavia,11/02/2024,1.759
Las Suertes,05/02/2024,6.498
Las Suertes,06/02/2024,6.760
Las Suertes,07/02/2024,6.614
Las Suertes,08/02/2024,6.706
Las Suertes,09/02/2024,6.916
Las Suertes,10/02/2024,6.232
Las Suertes,11/02/2024,4.752
Valdecarros,05/02/2024,3.505
Valdecarros,06/02/2024,3.587
Valdecarros,07/02/2024,3.749
Valdecarros,08/02/2024,3.677
Valdecarros,09/02/2024,3.607
Valdecarros,10/02/2024,2.393
Valdecarros,11/02/2024,1.443
Bambú,05/02/2024,4.051
Bambú,06/02/2024,4.291
Bambú,07/02/2024,4.299
Bambú,08/02/2024,4.263
Bambú,09/02/2024,3.657
Bambú,10/02/2024,1.424
Bambú,11/02/2024,756
Cuatro Caminos,05/02/2024,23.032
Cuatro Caminos,06/02/2024,24.324
Cuatro Caminos,07/02/2024,24.739
Cuatro Caminos,08/02/2024,24.636
Cuatro Caminos,09/02/2024,25.066
Cuatro Caminos,10/02/2024,19.750
Cuatro Caminos,11/02/2024,13.238
Manuel Becerra,05/02/2024,13.953
Manuel Becerra,06/02/2024,14.023
Manuel Becerra,07/02/2024,14.208
Manuel Becerra,08/02/2024,14.077
Manuel Becerra,09/02/2024,13.903
Manuel Becerra,10/02/2024,9.933
Manuel Becerra,11/02/2024,6.674
Príncipe de Vergara,05/02/2024,7.552
Príncipe de Vergara,06/02/2024,8.171
Príncipe de Vergara,07/02/2024,8.263
Príncipe de Vergara,08/02/2024,8.413
Príncipe de Vergara,09/02/2024,8.466
Príncipe de Vergara,10/02/2024,6.718
Príncipe de Vergara,11/02/2024,4.554
Retiro,05/02/2024,7.622
Retiro,06/02/2024,7.708
Retiro,07/02/2024,7.606
Retiro,08/02/2024,7.588
Retiro,09/02/2024,7.071
Retiro,10/02/2024,8.468
Retiro,11/02/2024,6.039
Banco de España,05/02/2024,8.561
Banco de España,06/02/2024,9.499
Banco de España,07/02/2024,9.863
Banco de España,08/02/2024,9.916
Banco de España,09/02/2024,10.434
Banco de España,10/02/2024,8.626
Banco de España,11/02/2024,7.095
Sevilla,05/02/2024,4.123
Sevilla,06/02/2024,4.600
Sevilla,07/02/2024,4.835
Sevilla,08/02/2024,4.951
Sevilla,09/02/2024,5.409
Sevilla,10/02/2024,4.655
Sevilla,11/02/2024,3.459
Ópera,05/02/2024,14.307
Ópera,06/02/2024,14.469
Ópera,07/02/2024,16.569
Ópera,08/02/2024,16.131
Ópera,09/02/2024,17.055
Ópera,10/02/2024,20.882
Ópera,11/02/2024,14.873
Santo Domingo,05/02/2024,4.758
Santo Domingo,06/02/2024,5.055
Santo Domingo,07/02/2024,5.279
Santo Domingo,08/02/2024,5.423
Santo Domingo,09/02/2024,5.931
Santo Domingo,10/02/2024,6.606
Santo Domingo,11/02/2024,4.903
Noviciado,05/02/2024,5.797
Noviciado,06/02/2024,6.288
Noviciado,07/02/2024,6.661
Noviciado,08/02/2024,6.903
Noviciado,09/02/2024,7.086
Noviciado,10/02/2024,5.809
Noviciado,11/02/2024,3.959
San Bernardo,05/02/2024,9.082
San Bernardo,06/02/2024,9.704
San Bernardo,07/02/2024,10.060
San Bernardo,08/02/2024,10.116
San Bernardo,09/02/2024,9.650
San Bernardo,10/02/2024,5.902
San Bernardo,11/02/2024,3.839
Quevedo,05/02/2024,9.143
Quevedo,06/02/2024,9.829
Quevedo,07/02/2024,10.386
Quevedo,08/02/2024,10.423
Quevedo,09/02/2024,10.140
Quevedo,10/02/2024,7.813
Quevedo,11/02/2024,4.965
Canal,05/02/2024,9.537
Canal,06/02/2024,10.216
Canal,07/02/2024,11.004
Canal,08/02/2024,10.660
Canal,09/02/2024,10.021
Canal,10/02/2024,6.826
Canal,11/02/2024,4.765
La Elipa,05/02/2024,9.191
La Elipa,06/02/2024,9.460
La Elipa,07/02/2024,9.813
La Elipa,08/02/2024,9.926
La Elipa,09/02/2024,9.941
La Elipa,10/02/2024,8.081
La Elipa,11/02/2024,5.636
La Almudena,05/02/2024,4.005
La Almudena,06/02/2024,4.292
La Almudena,07/02/2024,4.400
La Almudena,08/02/2024,4.257
La Almudena,09/02/2024,4.616
La Almudena,10/02/2024,3.524
La Almudena,11/02/2024,2.616
Alsacia,05/02/2024,6.342
Alsacia,06/02/2024,6.524
Alsacia,07/02/2024,6.677
Alsacia,08/02/2024,6.624
Alsacia,09/02/2024,6.963
Alsacia,10/02/2024,5.751
Alsacia,11/02/2024,4.017
Avenida de Guadalajara,05/02/2024,4.350
Avenida de Guadalajara,06/02/2024,4.527
Avenida de Guadalajara,07/02/2024,4.633
Avenida de Guadalajara,08/02/2024,4.539
Avenida de Guadalajara,09/02/2024,4.774
Avenida de Guadalajara,10/02/2024,3.405
Avenida de Guadalajara,11/02/2024,2.363
Las Rosas,05/02/2024,4.009
Las Rosas,06/02/2024,4.171
Las Rosas,07/02/2024,5.148
Las Rosas,08/02/2024,4.275
Las Rosas,09/02/2024,4.558
Las Rosas,10/02/2024,3.158
Las Rosas,11/02/2024,1.863
Príncipe Pío,05/02/2024,54.126
Príncipe Pío,06/02/2024,57.022
Príncipe Pío,07/02/2024,58.406
Príncipe Pío,08/02/2024,57.476
Príncipe Pío,09/02/2024,59.287
Príncipe Pío,10/02/2024,44.089
Príncipe Pío,11/02/2024,33.983
Sol,05/02/2024,54.854
Sol,06/02/2024,57.528
Sol,07/02/2024,59.556
Sol,08/02/2024,59.107
Sol,09/02/2024,61.488
Sol,10/02/2024,69.589
Sol,11/02/2024,54.244
Legazpi,05/02/2024,23.686
Legazpi,06/02/2024,24.903
Legazpi,07/02/2024,25.542
Legazpi,08/02/2024,25.211
Legazpi,09/02/2024,26.495
Legazpi,10/02/2024,23.811
Legazpi,11/02/2024,17.962
Delicias,05/02/2024,11.075
Delicias,06/02/2024,11.823
Delicias,07/02/2024,11.987
Delicias,08/02/2024,11.852
Delicias,09/02/2024,11.969
Delicias,10/02/2024,9.659
Delicias,11/02/2024,6.936
Palos de la Frontera,05/02/2024,8.894
Palos de la Frontera,06/02/2024,9.363
Palos de la Frontera,07/02/2024,9.569
Palos de la Frontera,08/02/2024,9.501
Palos de la Frontera,09/02/2024,9.858
Palos de la Frontera,10/02/2024,7.579
Palos de la Frontera,11/02/2024,5.422
Embajadores,05/02/2024,21.063
Embajadores,06/02/2024,22.318
Embajadores,07/02/2024,22.410
Embajadores,08/02/2024,22.551
Embajadores,09/02/2024,22.322
Embajadores,10/02/2024,15.145
Embajadores,11/02/2024,11.731
Lavapiés,05/02/2024,11.734
Lavapiés,06/02/2024,12.236
Lavapiés,07/02/2024,13.266
Lavapiés,08/02/2024,13.098
Lavapiés,09/02/2024,13.666
Lavapiés,10/02/2024,11.762
Lavapiés,11/02/2024,9.768
Callao,05/02/2024,17.786
Callao,06/02/2024,18.664
Callao,07/02/2024,19.489
Callao,08/02/2024,20.574
Callao,09/02/2024,22.697
Callao,10/02/2024,26.652
Callao,11/02/2024,20.110
Plaza de España,05/02/2024,26.116
Plaza de España,06/02/2024,27.243
Plaza de España,07/02/2024,29.262
Plaza de España,08/02/2024,28.900
Plaza de España,09/02/2024,31.008
Plaza de España,10/02/2024,32.841
Plaza de España,11/02/2024,23.232
Ventura Rodríguez,05/02/2024,5.734
Ventura Rodríguez,06/02/2024,5.832
Ventura Rodríguez,07/02/2024,6.214
Ventura Rodríguez,08/02/2024,6.175
Ventura Rodríguez,09/02/2024,6.140
Ventura Rodríguez,10/02/2024,2.988
Ventura Rodríguez,11/02/2024,2.329
Argüelles,05/02/2024,29.457
Argüelles,06/02/2024,30.939
Argüelles,07/02/2024,31.472
Argüelles,08/02/2024,32.131
Argüelles,09/02/2024,31.246
Argüelles,10/02/2024,20.141
Argüelles,11/02/2024,13.207
